Region,Codigo region,Comuna,Codigo comuna,Poblacion,SE8,SE9,SE10,SE11,SE12,SE13,SE14,SE15,SE16,SE17
Atacama,03,Alto del Carmen,03302,5729,0,0,0,0,0,0,0,0,0,0
Atacama,03,Caldera,03102,19426,0,0,0,0,0,0,0,0,0,0
Atacama,03,Chanaral,03201,13164,0,0,0,0,0,0,0,0,0,0
Atacama,03,Copiapo,03101,171766,0,0,0,1,0,2,1,4,0,0
Atacama,03,Diego de Almagro,03202,14358,0,0,0,0,0,1,0,0,0,0
Atacama,03,Freirina,03303,7681,0,0,0,0,0,0,0,0,0,0
Atacama,03,Huasco,03304,11264,0,0,0,0,0,0,0,0,0,0
Atacama,03,Tierra Amarilla,03103,14312,0,0,0,0,0,0,2,3,0,0
Atacama,03,Vallenar,03301,57009,0,0,0,0,0,0,0,1,4,2
Atacama,03,Total,,314709,0,0,0,1,0,3,3,8,4,2
,,,,,,,,,,,,,,
Coquimbo,04,Andacollo,04103,11791,0,0,0,0,0,0,0,0,0,0
Coquimbo,04,Canela,04202,9546,0,0,0,0,0,0,0,0,0,0
Coquimbo,04,Combarbala,04302,13884,0,0,0,0,0,0,0,0,0,0
Coquimbo,04,Coquimbo,04102,256735,0,0,0,4,13,3,1,0,2,1
Coquimbo,04,Illapel,04201,32801,0,0,0,0,0,4,7,7,0,0
Coquimbo,04,La Higuera,04104,4450,0,0,0,0,0,0,0,0,0,0
Coquimbo,04,La Serena,04101,249656,0,0,0,0,3,7,4,0,3,1
Coquimbo,04,Los Vilos,04203,23374,0,0,0,0,1,0,0,0,0,0
Coquimbo,04,Monte Patria,04303,32527,0,0,0,0,0,0,0,0,0,0
Coquimbo,04,Ovalle,04301,121269,0,0,0,2,2,4,1,0,0,0
Coquimbo,04,Paiguano,04105,4675,0,0,0,0,0,0,0,0,0,0
Coquimbo,04,Punitaqui,04304,12165,0,0,0,0,0,0,0,0,1,0
Coquimbo,04,Rio Hurtado,04305,4372,0,0,0,0,1,0,0,0,0,0
Coquimbo,04,Salamanca,04204,29110,0,0,0,0,1,2,1,2,1,0
Coquimbo,04,Vicuna,04106,29741,0,0,0,0,0,0,0,0,0,0
Coquimbo,04,Total,,836096,0,0,0,6,21,20,14,9,7,2
,,,,,,,,,,,,,,
Valparaiso,05,Algarrobo,05602,15174,0,0,0,1,4,4,0,0,0,0
Valparaiso,05,Cabildo,05402,20663,0,0,0,0,0,0,0,0,0,0
Valparaiso,05,Calera,05502,53591,0,0,0,0,1,6,2,4,7,2
Valparaiso,05,Calle Larga,05302,16482,0,0,0,0,0,0,2,3,1,0
Valparaiso,05,Cartagena,05603,25357,0,0,0,0,0,0,2,0,3,1
Valparaiso,05,Casablanca,05102,29170,0,0,0,0,1,0,1,1,0,0
Valparaiso,05,Catemu,05702,15213,0,0,0,0,0,0,0,0,0,0
Valparaiso,05,Concon,05103,45889,0,0,0,0,2,6,1,1,0,3
Valparaiso,05,El Quisco,05604,17742,0,0,0,0,1,0,4,2,4,0
Valparaiso,05,El Tabo,05605,14338,0,0,0,0,0,5,0,2,2,0
Valparaiso,05,Hijuelas,05503,19099,0,0,0,0,0,0,0,1,0,0
Valparaiso,05,Isla de Pascua,05201,8277,0,0,0,0,2,1,2,0,0,0
Valparaiso,05,Juan Fernandez,05104,1033,0,0,0,0,0,0,0,0,0,0
Valparaiso,05,La Cruz,05504,25321,0,0,1,0,1,2,3,1,0,0
Valparaiso,05,La Ligua,05401,37739,0,0,0,0,1,0,1,0,0,0
Valparaiso,05,Limache,05802,49931,0,0,0,0,3,0,5,9,6,0
Valparaiso,05,Llaillay,05703,26533,0,0,0,0,1,1,0,0,0,0
Valparaiso,05,Los Andes,05301,68093,0,0,0,0,1,2,0,3,0,0
Valparaiso,05,Nogales,05506,23490,0,0,0,0,0,0,0,0,0,0
Valparaiso,05,Olmue,05803,19266,0,0,0,0,0,0,2,0,0,0
Valparaiso,05,Panquehue,05704,7633,0,0,0,0,0,0,0,0,0,0
Valparaiso,05,Papudo,05403,6201,0,0,0,0,0,0,0,0,0,0
Valparaiso,05,Petorca,05404,10558,0,0,0,0,1,4,1,0,0,0
Valparaiso,05,Puchuncavi,05105,20071,0,0,0,0,0,0,0,0,0,0
Valparaiso,05,Putaendo,05705,17645,0,0,0,0,1,0,0,1,3,0
Valparaiso,05,Quillota,05501,97572,0,0,1,0,3,7,3,6,1,1
Valparaiso,05,Quilpue,05801,167085,0,0,1,3,3,8,7,4,4,0
Valparaiso,05,Quintero,05107,36135,0,0,0,0,3,0,0,0,3,0
Valparaiso,05,Rinconada,05303,11263,0,0,0,0,0,0,1,0,0,1
Valparaiso,05,San Antonio,05601,96761,0,0,0,0,0,5,14,10,15,2
Valparaiso,05,San Esteban,05304,20643,0,0,0,0,0,0,0,0,1,0
Valparaiso,05,San Felipe,05701,83494,0,0,0,0,3,2,1,0,0,0
Valparaiso,05,Santa Maria,05706,16367,0,0,0,0,0,2,0,0,0,0
Valparaiso,05,Santo Domingo,05606,11934,0,0,0,2,1,0,6,4,4,0
Valparaiso,05,Valparaiso,05101,315732,0,0,1,2,10,16,11,16,10,1
Valparaiso,05,Villa Alemana,05804,139310,0,0,0,1,7,3,2,0,1,0
Valparaiso,05,Vina del Mar,05109,361371,0,0,0,6,21,27,22,12,15,0
Valparaiso,05,Zapallar,05405,7994,0,0,0,0,0,0,0,0,0,0
Valparaiso,05,Total,,1960170,0,0,4,15,71,101,93,80,80,11
,,,,,,,,,,,,,,
Metropolitana,13,Alhue,13502,7405,0,0,0,0,0,0,0,0,0,0
Metropolitana,13,Buin,13402,109641,0,0,0,0,4,18,8,13,10,0
Metropolitana,13,Calera de Tango,13403,28525,0,0,0,0,4,4,1,1,4,1
Metropolitana,13,Cerrillos,13102,88956,0,0,1,2,4,9,12,19,14,5
Metropolitana,13,Cerro Navia,13103,142465,0,0,0,10,12,10,12,35,32,7
Metropolitana,13,Colina,13301,180353,0,0,4,6,28,14,17,13,10,3
Metropolitana,13,Conchali,13104,139195,0,0,0,1,15,12,15,20,28,7
Metropolitana,13,Curacavi,13503,36430,0,0,0,1,2,4,4,4,0,0
Metropolitana,13,El Bosque,13105,172000,0,0,0,2,14,21,28,44,28,8
Metropolitana,13,El Monte,13602,40014,0,0,0,0,1,1,6,4,1,0
Metropolitana,13,Estacion Central,13106,206792,0,0,1,2,11,25,30,35,48,10
Metropolitana,13,Huechuraba,13107,112528,0,0,0,4,18,7,16,16,16,0
Metropolitana,13,Independencia,13108,142065,0,0,0,3,13,8,19,38,92,22
Metropolitana,13,Isla de Maipo,13603,40171,0,0,0,0,2,1,6,2,0,0
Metropolitana,13,La Cisterna,13109,100434,0,0,0,0,10,9,12,18,19,5
Metropolitana,13,La Florida,13110,402433,0,0,2,12,29,55,53,56,61,14
Metropolitana,13,La Granja,13111,122557,0,0,0,1,6,13,24,16,15,5
Metropolitana,13,La Pintana,13112,189335,0,0,0,3,5,17,26,33,36,8
Metropolitana,13,La Reina,13113,100252,0,1,0,12,14,11,14,6,7,0
Metropolitana,13,Lampa,13302,126898,0,0,0,0,8,13,13,10,10,4
Metropolitana,13,Las Condes,13114,330759,1,0,6,60,120,65,37,26,23,8
Metropolitana,13,Lo Barnechea,13115,124076,0,0,2,14,51,26,16,34,25,2
Metropolitana,13,Lo Espejo,13116,103865,0,0,0,1,4,7,23,25,15,5
Metropolitana,13,Lo Prado,13117,104403,0,0,1,2,5,19,13,20,21,7
Metropolitana,13,Macul,13118,134635,0,0,1,3,11,21,14,11,13,15
Metropolitana,13,Maipu,13119,578605,0,0,0,13,45,65,73,72,85,10
Metropolitana,13,Maria Pinto,13504,14926,0,0,0,0,0,0,0,1,0,0
Metropolitana,13,Melipilla,13501,141612,0,0,1,1,4,6,4,7,17,0
Metropolitana,13,Nunoa,13120,250192,0,1,1,26,51,35,44,43,60,8
Metropolitana,13,Padre Hurtado,13604,74188,0,0,1,0,5,9,5,11,3,1
Metropolitana,13,Paine,13404,82766,0,0,1,0,2,0,4,3,2,1
Metropolitana,13,Pedro Aguirre Cerda,13121,107803,0,0,0,3,4,13,19,41,26,3
Metropolitana,13,Penaflor,13605,101058,0,0,1,4,3,9,4,7,12,4
Metropolitana,13,Penalolen,13122,266798,0,0,2,9,25,31,34,50,52,6
Metropolitana,13,Pirque,13202,30433,0,0,0,2,2,3,1,5,3,0
Metropolitana,13,Providencia,13123,157749,0,0,4,28,62,20,21,30,27,4
Metropolitana,13,Pudahuel,13124,253139,0,1,1,1,19,21,29,37,23,5
Metropolitana,13,Puente Alto,13201,645909,0,0,1,7,53,94,146,162,190,35
Metropolitana,13,Quilicura,13125,254694,0,0,2,3,18,23,36,30,39,13
Metropolitana,13,Quinta Normal,13126,136368,0,0,2,4,13,24,36,46,38,9
Metropolitana,13,Recoleta,13127,190075,0,0,0,5,14,17,25,39,51,23
Metropolitana,13,Renca,13128,160847,0,0,0,4,7,10,5,28,48,5
Metropolitana,13,San Bernardo,13401,334836,0,1,1,6,20,35,63,65,96,30
Metropolitana,13,San Joaquin,13129,103485,0,0,0,1,14,22,13,30,33,5
Metropolitana,13,San Jose de Maipo,13203,18644,0,0,0,1,1,1,1,1,0,2
Metropolitana,13,San Miguel,13130,133059,0,0,0,3,24,20,25,37,38,5
Metropolitana,13,San Pedro,13505,11953,0,0,0,0,0,0,0,0,1,1
Metropolitana,13,San Ramon,13131,86510,0,0,0,0,1,11,8,11,29,6
Metropolitana,13,Santiago,13101,503147,0,2,0,27,95,88,121,135,108,32
Metropolitana,13,Talagante,13601,81838,0,0,0,0,4,7,7,4,8,0
Metropolitana,13,Tiltil,13303,21477,0,0,0,0,2,1,1,0,1,0
Metropolitana,13,Vitacura,13132,96774,1,0,7,30,45,27,13,5,4,1
Metropolitana,13,Total,,8125072,2,6,43,317,924,982,1157,1399,1522,345
,,,,,,,,,,,,,,
Del Libertador General Bernardo O’Higgins,06,Chepica,06302,15925,0,0,0,0,0,0,0,0,0,0
Del Libertador General Bernardo O’Higgins,06,Chimbarongo,06303,37696,0,0,0,0,1,1,0,0,0,0
Del Libertador General Bernardo O’Higgins,06,Codegua,06102,14096,0,0,0,0,1,0,0,0,0,0
Del Libertador General Bernardo O’Higgins,06,Coinco,06103,7831,0,0,0,0,0,0,0,0,0,1
Del Libertador General Bernardo O’Higgins,06,Coltauco,06104,21263,0,0,0,0,0,0,0,0,0,0
Del Libertador General Bernardo O’Higgins,06,Donihue,06105,22700,0,0,0,0,0,0,0,0,1,0
Del Libertador General Bernardo O’Higgins,06,Graneros,06106,36504,0,0,0,0,0,0,0,0,0,2
Del Libertador General Bernardo O’Higgins,06,La Estrella,06202,3114,0,0,0,0,0,0,0,0,0,0
Del Libertador General Bernardo O’Higgins,06,Las Cabras,06107,26749,0,0,0,0,0,0,0,1,2,0
Del Libertador General Bernardo O’Higgins,06,Litueche,06203,6765,0,0,0,0,0,0,0,0,0,1
Del Libertador General Bernardo O’Higgins,06,Lolol,06304,7289,0,0,0,0,0,0,0,0,0,0
Del Libertador General Bernardo O’Higgins,06,Machali,06108,59913,0,0,0,1,5,1,0,4,0,5
Del Libertador General Bernardo O’Higgins,06,Malloa,06109,14163,0,0,0,0,0,0,0,0,0,0
Del Libertador General Bernardo O’Higgins,06,Marchihue,06204,7632,0,0,0,0,0,0,0,0,0,0
Del Libertador General Bernardo O’Higgins,06,Mostazal,06110,27462,0,0,0,0,0,0,0,0,0,0
Del Libertador General Bernardo O’Higgins,06,Nancagua,06305,19141,0,0,0,0,0,0,0,0,0,0
Del Libertador General Bernardo O’Higgins,06,Navidad,06205,6904,0,0,0,0,0,0,0,0,0,0
Del Libertador General Bernardo O’Higgins,06,Olivar,06111,14624,0,0,0,0,0,1,2,2,1,0
Del Libertador General Bernardo O’Higgins,06,Palmilla,06306,13299,0,0,0,0,0,0,0,0,0,0
Del Libertador General Bernardo O’Higgins,06,Paredones,06206,6349,0,0,0,0,0,0,0,0,0,0
Del Libertador General Bernardo O’Higgins,06,Peralillo,06307,11848,0,0,0,0,0,0,0,0,0,0
Del Libertador General Bernardo O’Higgins,06,Peumo,06112,14952,0,0,0,0,0,1,0,0,0,0
Del Libertador General Bernardo O’Higgins,06,Pichidegua,06113,20743,0,0,0,0,0,0,0,0,0,0
Del Libertador General Bernardo O’Higgins,06,Pichilemu,06201,17882,0,0,0,0,0,0,0,0,0,0
Del Libertador General Bernardo O’Higgins,06,Placilla,06308,9164,0,0,0,0,0,1,0,0,0,0
Del Libertador General Bernardo O’Higgins,06,Pumanque,06309,3531,0,0,0,0,0,0,0,0,0,0
Del Libertador General Bernardo O’Higgins,06,Quinta de Tilcoco,06114,13877,0,0,0,0,1,0,0,0,0,0
Del Libertador General Bernardo O’Higgins,06,Rancagua,06101,265211,0,0,0,0,7,4,7,3,5,2
Del Libertador General Bernardo O’Higgins,06,Rengo,06115,63710,0,0,0,0,1,1,0,0,1,0
Del Libertador General Bernardo O’Higgins,06,Requinoa,06116,30371,0,0,0,0,2,0,0,0,0,1
Del Libertador General Bernardo O’Higgins,06,San Fernando,06301,78642,0,0,0,0,2,0,1,0,1,1
Del Libertador General Bernardo O’Higgins,06,San Vicente,06117,50617,0,0,0,0,0,3,1,0,0,0
Del Libertador General Bernardo O’Higgins,06,Santa Cruz,06310,41096,0,0,0,0,0,1,0,0,1,0
Del Libertador General Bernardo O’Higgins,06,Total,,991063,0,0,0,1,20,14,11,10,12,13
,,,,,,,,,,,,,,
Maule,07,Cauquenes,07201,44143,0,0,0,0,0,2,3,1,5,1
Maule,07,Chanco,07202,9331,0,0,0,0,0,1,0,0,1,0
Maule,07,Colbun,07402,22565,0,0,0,0,0,3,3,0,0,0
Maule,07,Constitucion,07102,50348,0,0,0,0,0,3,3,5,7,0
Maule,07,Curepto,07103,9426,0,0,0,0,0,0,3,2,3,0
Maule,07,Curico,07301,163626,0,0,1,2,3,6,3,11,5,0
Maule,07,Empedrado,07104,4206,0,0,0,0,0,0,0,0,0,0
Maule,07,Hualane,07302,10222,0,0,0,0,0,0,0,0,0,0
Maule,07,Licanten,07303,6989,0,0,0,0,0,0,1,0,1,0
Maule,07,Linares,07401,101073,0,1,0,0,2,5,5,3,6,0
Maule,07,Longavi,07403,32810,0,0,0,0,1,0,1,1,1,0
Maule,07,Maule,07105,60000,0,0,0,0,1,1,2,5,11,2
Maule,07,Molina,07304,49800,0,0,0,0,1,2,0,1,3,0
Maule,07,Parral,07404,44544,0,0,0,0,1,3,2,2,1,0
Maule,07,Pelarco,07106,9083,0,0,0,0,0,0,0,3,2,0
Maule,07,Pelluhue,07203,8092,0,0,0,0,1,0,0,1,0,0
Maule,07,Pencahue,07107,8601,0,0,0,0,0,0,0,0,3,0
Maule,07,Rauco,07305,11248,0,0,0,0,0,1,1,0,0,0
Maule,07,Retiro,07405,21071,0,0,0,0,0,0,0,1,0,0
Maule,07,Rio Claro,07108,14753,0,0,0,0,2,0,1,1,3,0
Maule,07,Romeral,07306,16170,0,0,0,0,1,2,0,0,10,0
Maule,07,Sagrada Familia,07307,19469,0,0,0,0,0,0,1,0,1,0
Maule,07,San Clemente,07109,46292,0,0,0,0,0,0,0,2,7,0
Maule,07,San Javier,07406,49451,0,0,0,0,0,2,7,4,7,0
Maule,07,San Rafael,07110,9959,0,0,0,0,0,1,0,1,1,0
Maule,07,Talca,07101,236724,0,0,3,9,13,19,11,15,70,5
Maule,07,Teno,07308,30850,0,0,0,0,0,0,0,1,1,0
Maule,07,Vichuquen,07309,4381,0,0,0,0,0,0,0,0,0,0
Maule,07,Villa Alegre,07407,17512,0,0,0,0,0,0,0,1,0,0
Maule,07,Yerbas Buenas,07408,19200,0,0,0,0,0,0,0,1,0,0
Maule,07,Total,,1131939,0,1,4,11,26,51,47,62,149,8
,,,,,,,,,,,,,,
Nuble,16,Bulnes,16102,22607,0,0,0,0,7,28,10,7,7,0
Nuble,16,Chillan,16101,198624,1,0,1,30,120,122,74,35,23,5
Nuble,16,Chillan Viejo,16103,33827,0,0,0,4,5,22,8,10,2,1
Nuble,16,Cobquecura,16202,5275,0,0,0,0,0,0,0,0,0,0
Nuble,16,Coelemu,16203,16845,0,0,0,0,0,2,2,0,0,0
Nuble,16,Coihueco,16302,28375,0,0,0,0,3,2,3,4,10,2
Nuble,16,El Carmen,16104,12334,0,0,0,0,1,1,1,0,0,0
Nuble,16,Ninhue,16204,5414,0,0,0,0,0,0,2,0,2,0
Nuble,16,Niquen,16303,11567,0,0,0,0,0,0,1,2,0,0
Nuble,16,Pemuco,16105,8639,0,0,0,0,1,0,3,1,0,0
Nuble,16,Pinto,16106,11880,0,0,0,0,2,2,4,1,2,0
Nuble,16,Portezuelo,16205,4940,0,0,0,0,0,0,0,0,0,0
Nuble,16,Quillon,16107,18777,0,0,0,1,8,8,8,1,0,0
Nuble,16,Quirihue,16201,12192,0,0,0,0,0,0,3,0,1,0
Nuble,16,Ranquil,16206,6261,0,0,0,0,3,2,4,0,0,0
Nuble,16,San Carlos,16301,56252,0,0,0,3,7,9,9,3,2,1
Nuble,16,San Fabian,16304,4654,0,0,0,0,2,3,1,0,1,0
Nuble,16,San Ignacio,16108,16624,0,0,0,0,1,2,1,0,0,1
Nuble,16,San Nicolas,16305,12172,0,0,0,1,1,4,5,3,0,0
Nuble,16,Treguaco,16207,5696,0,0,0,0,0,0,0,0,0,0
Nuble,16,Yungay,16109,18596,0,0,0,0,5,12,22,4,3,0
Nuble,16,Total,,511551,1,0,1,39,166,219,161,71,53,10
,,,,,,,,,,,,,,
Biobio,08,Alto Biobio,08314,6775,0,0,0,0,0,0,0,0,0,0
Biobio,08,Antuco,08302,4306,0,0,0,0,0,0,0,0,0,0
Biobio,08,Arauco,08202,38679,0,0,0,1,2,2,1,0,0,0
Biobio,08,Cabrero,08303,30725,0,0,0,0,1,0,3,3,5,1
Biobio,08,Canete,08203,37003,0,0,0,0,0,0,0,0,0,0
Biobio,08,Chiguayante,08103,91180,0,0,0,5,5,8,16,11,9,3
Biobio,08,Concepcion,08101,238092,0,1,1,8,26,33,22,20,17,8
Biobio,08,Contulmo,08204,6330,0,0,0,0,0,0,0,0,0,0
Biobio,08,Coronel,08102,125829,0,0,0,0,6,6,3,1,0,0
Biobio,08,Curanilahue,08205,33892,0,0,0,0,1,0,0,0,0,1
Biobio,08,Florida,08104,11841,0,0,0,0,0,2,1,0,0,0
Biobio,08,Hualpen,08112,97273,0,0,0,1,18,31,26,17,9,1
Biobio,08,Hualqui,08105,26201,0,0,0,1,1,2,3,4,8,0
Biobio,08,Laja,08304,23873,0,0,1,1,0,3,0,1,1,3
Biobio,08,Lebu,08201,27100,0,0,0,0,0,0,0,0,0,0
Biobio,08,Los Alamos,08206,22524,0,0,0,0,0,0,0,1,0,0
Biobio,08,Los Angeles,08301,218515,0,0,0,3,5,10,6,4,3,0
Biobio,08,Lota,08106,45750,0,0,0,0,1,0,0,0,0,0
Biobio,08,Mulchen,08305,31041,0,0,0,0,1,4,0,0,0,0
Biobio,08,Nacimiento,08306,27944,0,0,0,0,2,3,3,2,0,0
Biobio,08,Negrete,08307,10429,0,0,0,0,0,0,2,0,0,0
Biobio,08,Penco,08107,49865,0,0,0,0,1,3,3,3,7,0
Biobio,08,Quilaco,08308,4179,0,0,0,0,0,0,0,0,0,0
Biobio,08,Quilleco,08309,10032,0,0,0,0,0,0,0,0,1,0
Biobio,08,San Pedro de la Paz,08108,145906,0,0,0,6,33,15,24,9,11,1
Biobio,08,San Rosendo,08310,3611,0,0,0,0,0,0,0,0,0,0
Biobio,08,Santa Barbara,08311,14592,0,0,0,0,1,2,0,0,0,0
Biobio,08,Santa Juana,08109,14779,0,0,0,0,0,0,1,0,0,1
Biobio,08,Talcahuano,08110,158345,0,0,0,3,20,17,17,13,13,7
Biobio,08,Tirua,08207,11019,0,0,0,0,1,2,1,0,0,0
Biobio,08,Tome,08111,58729,0,0,0,0,10,11,12,7,9,1
Biobio,08,Tucapel,08312,15205,0,0,0,0,0,0,1,0,0,0
Biobio,08,Yumbel,08313,22132,0,0,0,0,0,5,0,0,1,0
Biobio,08,Total,,1663696,0,1,2,29,135,159,145,96,94,27
,,,,,,,,,,,,,,
La Araucania,09,Angol,09201,56058,0,0,1,1,3,10,9,16,29,6
La Araucania,09,Carahue,09102,25486,0,0,0,0,1,3,9,9,8,0
La Araucania,09,Cholchol,09121,12341,0,0,0,0,1,3,0,1,0,0
La Araucania,09,Collipulli,09202,26148,0,0,0,0,0,0,0,1,1,0
La Araucania,09,Cunco,09103,18055,0,0,0,0,0,3,3,0,0,0
La Araucania,09,Curacautin,09203,18178,0,0,0,0,2,0,3,0,0,1
La Araucania,09,Curarrehue,09104,7802,0,0,0,1,1,2,0,0,0,0
La Araucania,09,Ercilla,09204,8458,0,0,0,0,0,0,3,1,3,1
La Araucania,09,Freire,09105,25446,0,0,0,0,2,3,0,0,2,0
La Araucania,09,Galvarino,09106,12633,0,0,0,0,0,1,1,0,0,0
La Araucania,09,Gorbea,09107,15148,0,0,0,1,4,4,1,0,2,0
La Araucania,09,Lautaro,09108,40746,0,1,0,0,6,4,13,6,4,0
La Araucania,09,Loncoche,09109,24739,0,0,0,0,2,2,2,3,0,0
La Araucania,09,Lonquimay,09205,11049,0,0,0,0,0,0,0,0,0,0
La Araucania,09,Los Sauces,09206,7517,0,0,0,0,0,0,0,0,0,0
La Araucania,09,Lumaco,09207,10050,0,0,0,0,0,0,0,0,0,0
La Araucania,09,Melipeuco,09110,6265,0,0,0,0,0,0,0,0,0,0
La Araucania,09,Nueva Imperial,09111,33777,0,0,0,0,6,10,6,13,1,0
La Araucania,09,Padre Las Casas,09112,82110,0,0,0,0,10,23,17,13,13,2
La Araucania,09,Perquenco,09113,7223,0,0,0,0,1,1,1,0,3,0
La Araucania,09,Pitrufquen,09114,26096,0,0,0,0,4,8,6,0,1,0
La Araucania,09,Pucon,09115,29782,0,0,0,1,3,0,4,3,0,1
La Araucania,09,Puren,09208,12188,0,0,0,0,0,2,0,0,0,0
La Araucania,09,Renaico,09209,10833,0,0,0,0,0,1,1,0,2,0
La Araucania,09,Saavedra,09116,12793,0,0,0,0,0,0,1,4,8,2
La Araucania,09,Temuco,09101,302931,0,0,4,27,139,159,151,108,56,0
La Araucania,09,Teodoro Schmidt,09117,15786,0,0,0,0,2,2,0,1,1,0
La Araucania,09,Tolten,09118,10055,0,0,0,0,3,1,2,0,0,0
La Araucania,09,Traiguen,09210,19314,0,0,0,0,0,0,2,0,1,0
La Araucania,09,Victoria,09211,35467,0,0,0,0,2,7,3,3,29,11
La Araucania,09,Vilcun,09119,30766,0,0,0,0,6,10,14,7,2,0
La Araucania,09,Villarrica,09120,59103,0,0,0,0,2,10,6,1,0,0
La Araucania,09,Total,,1014343,0,1,5,31,200,269,258,190,166,24
,,,,,,,,,,,,,,
Los Rios,14,Corral,14102,5447,0,0,0,0,0,0,0,0,1,0
Los Rios,14,Futrono,14202,15261,0,0,0,0,1,3,1,0,0,0
Los Rios,14,La Union,14201,39538,0,0,0,1,4,7,5,5,5,0
Los Rios,14,Lago Ranco,14203,10292,0,0,0,0,1,1,0,0,0,0
Los Rios,14,Lanco,14103,17652,0,0,0,0,0,1,2,1,1,0
Los Rios,14,Los Lagos,14104,20518,0,0,0,0,0,0,0,0,0,0
Los Rios,14,Mafil,14105,7389,0,0,0,0,1,0,0,0,1,0
Los Rios,14,Mariquina,14106,23250,0,0,0,0,3,1,4,1,0,0
Los Rios,14,Paillaco,14107,20798,0,0,0,0,1,0,1,0,0,0
Los Rios,14,Panguipulli,14108,35991,0,0,0,0,0,0,0,0,0,0
Los Rios,14,Rio Bueno,14204,32925,0,0,0,0,3,1,4,1,1,0
Los Rios,14,Valdivia,14101,176774,0,0,2,1,27,33,23,14,5,0
Los Rios,14,Total,,405835,0,0,2,2,41,47,40,22,14,0
,,,,,,,,,,,,,,
Los Lagos,10,Ancud,10202,42458,0,0,0,0,0,0,0,5,3,1
Los Lagos,10,Calbuco,10102,36744,0,0,0,0,3,1,1,1,1,0
Los Lagos,10,Castro,10201,47607,0,0,0,0,2,0,5,0,0,0
Los Lagos,10,Chaiten,10401,5020,0,0,0,0,0,1,0,0,0,0
Los Lagos,10,Chonchi,10203,16013,0,0,0,0,0,0,0,0,0,0
Los Lagos,10,Cochamo,10103,4006,0,0,0,0,0,0,0,1,0,0
Los Lagos,10,Curaco de Velez,10204,4066,0,0,0,0,0,0,0,0,0,0
Los Lagos,10,Dalcahue,10205,15069,0,0,0,0,0,0,0,0,0,0
Los Lagos,10,Fresia,10104,12656,0,0,0,0,0,0,0,0,0,0
Los Lagos,10,Frutillar,10105,20223,0,0,0,0,0,1,3,2,0,0
Los Lagos,10,Futaleufu,10402,2806,0,0,0,0,0,0,0,0,0,0
Los Lagos,10,Hualaihue,10403,9525,0,0,0,0,0,3,0,0,0,0
Los Lagos,10,Llanquihue,10107,18621,0,0,0,0,0,1,0,0,0,0
Los Lagos,10,Los Muermos,10106,17817,0,0,0,0,1,0,0,0,0,0
Los Lagos,10,Maullin,10108,14894,0,0,0,0,0,0,0,1,0,0
Los Lagos,10,Osorno,10301,173410,0,0,0,3,58,105,58,33,18,3
Los Lagos,10,Palena,10404,1827,0,0,0,0,0,0,0,0,0,0
Los Lagos,10,Puerto Montt,10101,269398,0,0,1,10,23,19,12,3,5,0
Los Lagos,10,Puerto Octay,10302,9192,0,0,0,0,1,0,0,0,1,0
Los Lagos,10,Puerto Varas,10109,48620,0,0,0,1,0,2,4,2,0,0
Los Lagos,10,Puqueldon,10206,4201,0,0,0,0,0,0,0,0,0,0
Los Lagos,10,Purranque,10303,21080,0,0,0,0,0,3,10,3,1,0
