Region,Codigo region,Comuna,Codigo comuna,Poblacion,2020-03-30,2020-04-01,2020-04-03,2020-04-06,2020-04-08,2020-04-10,2020-04-13,2020-04-15,2020-04-17,2020-04-20,2020-04-24,2020-04-27,2020-05-01,2020-05-04,2020-05-08,2020-05-11,2020-05-15,2020-05-18,2020-05-22,2020-05-25,2020-05-29,2020-06-01,2020-06-05,2020-06-08,Tasa
Coquimbo,04,La Serena,04101,249656,0,0,8,12,12,12,12,12,12,16,18,19,20,27,33,40,57,63,89,117,145,186,205,260,104.1
Coquimbo,04,Los Vilos,04203,23374,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,6,8,34.2
Coquimbo,04,Monte Patria,04303,32527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,17,20,29,43,55,68,209.1
Coquimbo,04,Ovalle,04301,121269,4,4,4,7,7,8,8,8,8,9,9,9,10,11,16,24,35,48,59,70,97,137,171,257,211.9
Coquimbo,04,Paiguano,04105,4675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,4,85.6
Coquimbo,04,Punitaqui,04304,12165,0,0,0,0,0,0,0,0,0,0,1,1,2,3,5,8,8,8,10,11,13,14,17,26,213.7
Coquimbo,04,Rio Hurtado,04305,4372,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,5,7,10,228.7
Coquimbo,04,Salamanca,04204,29110,0,0,0,4,4,5,6,6,7,7,7,7,7,8,9,10,12,10,11,12,14,19,22,37,127.1
Coquimbo,04,Vicuna,04106,29741,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,5,7,10,12,14,14,17,19,63.9
Coquimbo,04,Total,,836096,27,30,35,51,56,61,66,66,68,75,79,82,88,104,124,149,197,227,297,351,552,681,851,1139,136.2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Valparaiso,05,Algarrobo,05602,15174,7,7,9,9,8,8,8,9,9,9,9,10,10,10,12,14,19,23,32,33,36,42,48,57,375.6
Valparaiso,05,Cabildo,05402,20663,0,0,0,0,0,0,0,0,0,1,0,3,4,5,5,6,7,9,11,13,18,18,24,32,154.9
Valparaiso,05,Calera,05502,53591,6,6,7,7,9,9,9,11,13,16,22,22,22,22,22,25,28,31,39,42,51,64,82,94,175.4
Valparaiso,05,Calle Larga,05302,16482,0,0,0,0,0,0,2,2,4,5,6,6,6,6,10,10,12,12,20,23,36,44,61,81,491.4
Valparaiso,05,Cartagena,05603,25357,0,0,0,0,0,0,2,2,2,2,6,6,8,9,14,15,21,23,31,36,42,46,54,61,240.6
Valparaiso,05,Casablanca,05102,29170,0,0,0,0,0,0,3,3,3,3,3,3,3,3,4,4,13,13,21,21,23,26,35,43,147.4
Valparaiso,05,Catemu,05702,15213,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,4,5,7,10,10,17,27,177.5
Valparaiso,05,Concon,05103,45889,0,0,7,7,0,0,6,7,7,7,13,14,19,20,23,25,29,37,43,44,49,66,72,90,196.1
Valparaiso,05,El Quisco,05604,17742,0,0,0,0,0,0,3,4,6,8,11,11,11,12,16,18,23,26,30,33,44,51,66,69,388.9
Valparaiso,05,El Tabo,05605,14338,0,0,0,0,0,0,2,3,6,6,9,9,13,13,14,16,23,24,29,31,37,41,61,70,488.2
Valparaiso,05,Hijuelas,05503,19099,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,3,5,6,13,18,29,33,172.8
Valparaiso,05,Isla de Pascua,05201,8277,0,5,5,5,5,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,60.4
Valparaiso,05,Juan Fernandez,05104,1033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Valparaiso,05,La Cruz,05504,25321,0,0,0,0,0,0,5,5,5,7,8,8,9,10,14,17,19,22,24,24,26,28,33,36,142.2
Valparaiso,05,La Ligua,05401,37739,0,0,0,0,0,0,2,2,2,2,2,2,2,3,3,3,3,4,8,9,15,15,28,46,121.9
Valparaiso,05,Limache,05802,49931,0,0,0,4,5,7,8,13,20,20,23,23,23,22,25,28,47,54,68,79,85,94,125,146,292.4
Valparaiso,05,Llaillay,05703,26533,0,0,0,0,0,0,2,2,2,2,2,2,4,4,4,5,11,14,33,37,53,54,67,85,320.4
Valparaiso,05,Los Andes,05301,68093,0,0,0,0,6,6,6,7,9,9,6,7,9,9,15,25,28,35,72,92,128,146,194,273,400.9
Valparaiso,05,Nogales,05506,23490,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,5,9,12,14,16,21,25,106.4
Valparaiso,05,Olmue,05803,19266,0,0,0,0,0,0,1,1,2,2,2,2,2,2,2,2,3,3,6,8,15,17,24,25,129.8
Valparaiso,05,Panquehue,05704,7633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,5,8,8,14,17,222.7
Valparaiso,05,Papudo,05403,6201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,7,7,14,16,258
Valparaiso,05,Petorca,05404,10558,0,0,0,5,4,5,6,6,6,6,6,6,6,6,6,7,7,7,10,11,14,15,21,21,198.9
Valparaiso,05,Puchuncavi,05105,20071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,7,15,18,24,119.6
Valparaiso,05,Putaendo,05705,17645,0,0,0,0,0,0,1,2,2,5,5,5,6,6,7,12,12,15,21,22,24,26,34,49,277.7
Valparaiso,05,Quillota,05501,97572,6,7,9,9,13,13,16,18,19,20,22,22,24,26,28,31,39,48,56,59,66,80,107,138,141.4
Valparaiso,05,Quilpue,05801,167085,11,10,11,12,15,18,20,21,22,27,30,30,38,40,50,55,88,104,124,155,188,226,285,321,192.1
Valparaiso,05,Quintero,05107,36135,0,0,0,0,0,4,5,4,4,4,6,9,10,10,14,16,23,29,33,41,56,79,97,122,337.6
Valparaiso,05,Rinconada,05303,11263,0,0,0,0,0,0,2,2,2,2,2,2,2,2,3,3,3,5,10,18,26,34,48,53,470.6
Valparaiso,05,San Antonio,05601,96761,0,4,8,9,9,13,17,19,28,34,46,53,72,86,125,147,191,225,280,286,359,389,472,538,556
Valparaiso,05,San Esteban,05304,20643,0,0,0,0,0,0,0,0,0,1,1,3,3,3,5,8,9,11,14,17,18,20,29,43,208.3
Valparaiso,05,San Felipe,05701,83494,0,0,5,5,6,6,6,6,6,6,6,6,9,9,12,17,30,37,72,87,112,129,187,267,319.8
Valparaiso,05,Santa Maria,05706,16367,0,0,0,0,0,0,2,2,2,2,2,2,13,16,19,20,20,20,26,26,30,30,33,46,281.1
Valparaiso,05,Santo Domingo,05606,11934,,0,0,0,5,5,5,10,11,12,17,17,19,22,21,25,29,33,35,35,38,41,50,57,477.6
Valparaiso,05,Valparaiso,05101,315732,16,26,23,26,36,39,44,45,51,59,67,68,95,109,169,190,255,300,354,412,482,593,765,922,292
Valparaiso,05,Villa Alemana,05804,139310,6,8,11,11,12,12,12,12,13,13,14,15,17,19,36,45,64,77,109,122,147,172,233,288,206.7
Valparaiso,05,Vina del Mar,05109,361371,29,38,47,53,66,69,72,75,84,94,103,109,123,135,168,200,275,327,408,476,589,724,861,992,274.5
Valparaiso,05,Zapallar,05405,7994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,37.5
Valparaiso,05,Total,,1960170,102,136,176,198,225,241,273,299,345,390,455,481,588,646,853,998,1344,1586,2054,2336,2874,3392,4317,5215,266
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metropolitana,13,Alhue,13502,7405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,5,7,7,10,135
Metropolitana,13,Buin,13402,109641,7,8,14,20,20,29,36,40,43,47,53,60,81,92,114,152,216,258,358,432,471,540,692,815,743.3
Metropolitana,13,Calera de Tango,13403,28525,6,7,7,7,8,8,10,10,11,14,15,15,17,17,21,23,29,32,50,66,83,93,109,146,511.8
Metropolitana,13,Cerrillos,13102,88956,0,4,4,5,11,21,29,39,48,53,66,80,129,241,308,329,432,485,639,758,876,994,1123,1231,1383.8
Metropolitana,13,Cerro Navia,13103,142465,19,21,26,31,36,42,57,65,79,99,118,135,179,227,284,387,476,541,851,993,1230,1596,1892,2149,1508.4
Metropolitana,13,Colina,13301,180353,32,39,47,50,62,66,74,77,81,90,95,103,129,152,230,289,429,490,781,999,1259,1451,1742,1986,1101.2
Metropolitana,13,Conchali,13104,139195,14,18,22,32,38,47,52,56,64,80,98,113,187,295,406,470,626,708,1063,1370,1773,2010,2330,2542,1826.2
Metropolitana,13,Curacavi,13503,36430,5,5,5,8,9,10,13,14,14,14,15,15,19,23,25,35,65,83,116,149,203,272,335,402,1103.5
Metropolitana,13,El Bosque,13105,172000,18,28,35,37,46,64,83,93,107,127,145,177,236,275,377,439,612,728,1026,1164,1448,1654,2027,2418,1405.8
Metropolitana,13,El Monte,13602,40014,0,0,0,5,7,9,10,10,12,12,13,16,21,21,24,29,31,52,80,91,117,152,215,252,629.8
Metropolitana,13,Estacion Central,13106,206792,16,22,25,36,41,61,71,89,101,120,162,207,341,447,578,679,954,1100,1466,1700,1986,2305,2617,2943,1423.2
Metropolitana,13,Huechuraba,13107,112528,17,19,22,32,35,38,48,53,59,66,77,82,113,150,220,263,375,413,669,840,1005,1285,1452,1580,1404.1
Metropolitana,13,Independencia,13108,142065,15,17,22,26,31,37,52,60,80,115,196,246,431,594,836,992,1199,1330,1699,1984,2566,2923,3359,3630,2555.2
Metropolitana,13,Isla de Maipo,13603,40171,0,0,0,4,7,10,10,11,11,11,11,13,14,15,17,20,23,27,41,46,65,88,108,133,331.1
Metropolitana,13,La Cisterna,13109,100434,10,12,12,20,26,34,39,45,47,61,73,84,122,143,205,251,348,427,646,719,845,1012,1185,1391,1385
Metropolitana,13,La Florida,13110,402433,43,58,67,91,103,126,165,176,211,231,282,328,428,578,824,1071,1538,1887,2514,3256,3927,4550,5237,6031,1498.6
Metropolitana,13,La Granja,13111,122557,5,8,16,24,26,36,46,51,60,69,80,95,138,193,276,348,635,800,1260,1769,2206,2622,2820,3294,2687.7
Metropolitana,13,La Pintana,13112,189335,0,10,13,18,25,39,55,70,88,107,128,195,269,345,483,561,840,1067,1432,1804,2379,2861,3339,3955,2088.9
Metropolitana,13,La Reina,13113,100252,24,26,30,35,44,52,54,56,59,62,65,84,108,136,173,195,247,294,384,485,644,735,864,953,950.6
Metropolitana,13,Lampa,13302,126898,10,10,13,14,18,26,37,41,45,48,58,68,96,117,172,197,278,306,463,660,864,989,1108,1257,990.6
Metropolitana,13,Las Condes,13114,330759,181,208,224,258,266,281,296,306,320,326,346,355,409,477,626,738,961,1084,1439,1765,2141,2436,2747,3034,917.3
Metropolitana,13,Lo Barnechea,13115,124076,68,78,85,97,105,110,116,125,144,157,170,194,238,273,381,422,520,576,742,892,1060,1179,1366,1475,1188.8
Metropolitana,13,Lo Espejo,13116,103865,4,7,9,15,23,34,48,56,60,67,80,100,130,162,222,258,423,525,788,895,1061,1295,1491,1743,1678.1
Metropolitana,13,Lo Prado,13117,104403,14,18,20,25,32,35,43,47,62,75,88,111,170,210,258,329,390,435,617,721,900,1129,1347,1566,1500
Metropolitana,13,Macul,13118,134635,10,15,23,34,37,43,49,51,57,64,89,110,136,181,272,336,524,671,949,1157,1412,1684,1909,2149,1596.2
Metropolitana,13,Maipu,13119,578605,43,55,64,83,106,167,203,241,284,312,364,399,480,580,718,844,1212,1347,2000,2537,3193,3765,4499,5273,911.3
Metropolitana,13,Maria Pinto,13504,14926,0,0,0,0,0,0,0,0,1,1,1,1,3,3,3,3,3,5,12,16,28,50,69,83,556.1
Metropolitana,13,Melipilla,13501,141612,6,8,9,11,12,16,17,19,25,35,40,48,74,110,119,136,168,197,310,412,533,693,887,1060,748.5
Metropolitana,13,Nunoa,13120,250192,67,84,93,107,118,155,171,188,217,240,269,291,329,365,435,480,692,792,1091,1315,1662,1940,2250,2533,1012.4
Metropolitana,13,Padre Hurtado,13604,74188,10,11,14,16,18,20,26,27,28,32,35,40,55,66,79,96,125,135,202,243,300,378,484,548,738.7
Metropolitana,13,Paine,13404,82766,0,0,0,0,0,7,8,9,10,11,13,15,21,26,47,56,108,126,177,198,249,273,347,390,471.2
Metropolitana,13,Pedro Aguirre Cerda,13121,107803,7,13,13,16,19,36,54,70,78,89,109,129,180,229,294,349,525,657,890,994,1149,1314,1441,1684,1562.1
Metropolitana,13,Penaflor,13605,101058,10,13,13,18,18,20,25,26,29,35,44,51,67,76,87,102,130,155,222,274,363,446,574,674,666.9
Metropolitana,13,Penalolen,13122,266798,31,46,54,65,78,98,131,137,162,187,209,254,322,404,570,779,1157,1469,2160,2878,3505,4207,4899,5552,2081
Metropolitana,13,Pirque,13202,30433,0,0,0,4,4,9,10,12,13,14,16,19,30,43,51,58,92,107,136,169,231,289,324,388,1274.9
Metropolitana,13,Providencia,13123,157749,82,87,94,104,115,129,136,147,164,180,196,200,226,250,309,372,472,520,706,846,1071,1201,1403,1542,977.5
Metropolitana,13,Pudahuel,13124,253139,17,25,32,44,52,67,78,88,103,118,137,167,233,288,372,491,622,744,1095,1376,1728,2288,2831,3201,1264.5
Metropolitana,13,Puente Alto,13201,645909,45,58,76,119,166,239,322,374,472,562,688,764,889,1129,1404,1658,2165,2780,3658,4495,5770,6698,7939,9143,1415.5
Metropolitana,13,Quilicura,13125,254694,17,29,33,51,57,79,94,101,112,129,164,236,423,546,758,826,1080,1193,1593,1968,2644,3091,3546,3887,1526.1
Metropolitana,13,Quinta Normal,13126,136368,21,25,35,41,57,69,84,105,125,149,172,194,262,306,377,459,560,627,879,1036,1255,1548,1897,2088,1531.2
Metropolitana,13,Recoleta,13127,190075,17,23,32,44,52,61,73,81,107,126,174,226,398,602,889,1028,1330,1516,2135,2560,3287,3623,4040,4358,2292.8
Metropolitana,13,Renca,13128,160847,9,14,18,19,22,28,42,50,70,82,107,131,185,255,342,418,510,605,967,1129,1374,1675,2180,2504,1556.8
Metropolitana,13,San Bernardo,13401,334836,32,41,53,74,79,117,140,156,198,237,318,372,435,544,683,773,1018,1247,1807,2116,2539,2877,3408,3845,1148.3
Metropolitana,13,San Joaquin,13129,103485,13,24,28,36,42,52,58,68,84,101,118,149,183,267,395,475,727,904,1325,1427,1603,1874,2068,2255,2179.1
Metropolitana,13,San Jose de Maipo,13203,18644,0,0,0,0,0,4,4,4,4,4,7,8,12,23,35,42,61,73,102,137,186,222,232,277,1485.7
Metropolitana,13,San Miguel,13130,133059,25,32,39,49,56,69,86,97,111,131,152,173,213,255,350,405,563,665,1015,1205,1444,1687,1988,2286,1718
Metropolitana,13,San Pedro,13505,11953,0,0,0,0,0,0,0,0,0,1,2,2,8,10,12,15,17,18,25,26,33,37,44,49,409.9
Metropolitana,13,San Ramon,13131,86510,0,6,9,9,12,18,20,27,32,42,66,90,144,220,327,381,638,719,1069,1329,1543,1698,1841,2107,2435.6
Metropolitana,13,Santiago,13101,503147,127,156,173,234,271,321,375,404,463,500,608,700,980,1294,1666,1873,2627,2961,3935,4618,5617,6278,7089,7786,1547.5
Metropolitana,13,Talagante,13601,81838,0,5,6,11,14,18,21,24,26,27,30,33,37,42,48,68,88,105,155,183,224,276,343,432,527.9
Metropolitana,13,Tiltil,13303,21477,0,0,0,0,4,4,4,4,4,5,5,5,9,12,12,13,21,24,40,69,112,121,134,140,651.9
Metropolitana,13,Vitacura,13132,96774,83,90,100,114,114,119,127,128,130,132,133,138,152,164,211,251,325,370,485,569,646,712,780,859,887.6
Metropolitana,13,Total,,8125072,1197,1521,1742,2244,2548,3193,3803,4334,4915,5597,6700,7821,10491,13473,17925,21264,29207,34380,48266,58843,72815,85123,98958,112029,1378.8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Del Libertador General Bernardo O’Higgins,06,Chepica,06302,15925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,6,6,6,8,6,8,50.2
Del Libertador General Bernardo O’Higgins,06,Chimbarongo,06303,37696,0,0,0,0,0,0,2,4,4,2,2,2,2,2,2,2,5,5,6,11,16,19,23,32,84.9
Del Libertador General Bernardo O’Higgins,06,Codegua,06102,14096,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,3,3,4,6,6,8,9,11,14,99.3
Del Libertador General Bernardo O’Higgins,06,Coinco,06103,7831,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,4,5,8,9,14,14,17,19,242.6
Del Libertador General Bernardo O’Higgins,06,Coltauco,06104,21263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,9,16,16,17,22,25,28,30,141.1
Del Libertador General Bernardo O’Higgins,06,Donihue,06105,22700,0,0,0,0,0,0,0,0,0,0,1,1,2,2,4,6,10,14,20,23,31,32,35,45,198.2
Del Libertador General Bernardo O’Higgins,06,Graneros,06106,36504,0,0,0,0,0,0,0,0,0,0,2,2,2,2,10,17,23,27,32,36,45,45,47,61,167.1
Del Libertador General Bernardo O’Higgins,06,La Estrella,06202,3114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,32.1
Del Libertador General Bernardo O’Higgins,06,Las Cabras,06107,26749,0,0,0,0,0,0,0,1,1,1,3,3,4,10,10,10,12,12,13,13,15,15,20,23,86
Del Libertador General Bernardo O’Higgins,06,Litueche,06203,6765,0,0,0,0,0,0,0,0,0,0,1,3,7,8,8,8,9,9,11,11,11,11,13,14,206.9
Del Libertador General Bernardo O’Higgins,06,Lolol,06304,7289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,3,3,10,11,150.9
Del Libertador General Bernardo O’Higgins,06,Machali,06108,59913,0,6,7,8,8,8,8,8,9,10,16,16,16,16,19,20,24,26,29,37,44,49,66,88,146.9
Del Libertador General Bernardo O’Higgins,06,Malloa,06109,14163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,3,4,4,4,4,28.2
Del Libertador General Bernardo O’Higgins,06,Marchihue,06204,7632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,52.4
Del Libertador General Bernardo O’Higgins,06,Mostazal,06110,27462,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,4,7,7,9,13,16,20,30,109.2
Del Libertador General Bernardo O’Higgins,06,Nancagua,06305,19141,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,3,4,5,8,12,13,16,18,94
Del Libertador General Bernardo O’Higgins,06,Navidad,06205,6904,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,4,8,8,10,10,10,11,13,18,260.7
Del Libertador General Bernardo O’Higgins,06,Olivar,06111,14624,0,0,0,0,0,0,6,7,7,6,6,6,6,6,6,7,13,14,16,18,19,20,25,27,184.6
Del Libertador General Bernardo O’Higgins,06,Palmilla,06306,13299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,4,4,30.1
Del Libertador General Bernardo O’Higgins,06,Paredones,06206,6349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,47.3
Del Libertador General Bernardo O’Higgins,06,Peralillo,06307,11848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,3,6,9,76
Del Libertador General Bernardo O’Higgins,06,Peumo,06112,14952,0,0,0,0,0,0,1,1,1,1,1,1,2,2,3,3,4,4,5,6,7,7,7,8,53.5
Del Libertador General Bernardo O’Higgins,06,Pichidegua,06113,20743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,5,6,8,9,11,12,12,57.9
Del Libertador General Bernardo O’Higgins,06,Pichilemu,06201,17882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,5,8,8,9,11,14,78.3
Del Libertador General Bernardo O’Higgins,06,Placilla,06308,9164,0,0,0,0,0,0,1,2,2,1,1,1,1,1,1,1,2,4,4,6,6,7,8,13,141.9
Del Libertador General Bernardo O’Higgins,06,Pumanque,06309,3531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,28.3
Del Libertador General Bernardo O’Higgins,06,Quinta de Tilcoco,06114,13877,0,0,0,0,0,0,3,3,3,1,1,1,1,1,1,1,1,2,2,2,2,2,4,4,28.8
Del Libertador General Bernardo O’Higgins,06,Rancagua,06101,265211,7,7,9,15,15,15,15,15,15,22,28,32,38,45,61,82,128,170,195,243,326,354,442,547,206.3
Del Libertador General Bernardo O’Higgins,06,Rengo,06115,63710,0,0,0,0,0,0,1,1,1,2,3,7,8,10,9,11,14,21,22,27,35,38,47,51,80.1
Del Libertador General Bernardo O’Higgins,06,Requinoa,06116,30371,0,0,0,0,0,0,1,1,1,2,3,4,4,4,5,5,8,9,10,10,19,20,31,36,118.5
Del Libertador General Bernardo O’Higgins,06,San Fernando,06301,78642,0,4,4,4,4,4,4,5,5,6,5,5,5,6,6,6,10,14,14,17,25,34,46,57,72.5
Del Libertador General Bernardo O’Higgins,06,San Vicente,06117,50617,0,0,4,4,4,4,4,4,4,4,4,4,8,9,11,14,20,25,35,40,43,45,51,52,102.7
Del Libertador General Bernardo O’Higgins,06,Santa Cruz,06310,41096,0,0,0,0,0,0,2,2,2,1,2,2,2,2,2,3,5,6,11,12,13,15,19,22,53.5
