Region,Codigo region,Comuna,Codigo comuna,Poblacion,2020-04-13,2020-04-15,2020-04-17,2020-04-20,2020-04-24,2020-04-27,2020-05-01,2020-05-04,2020-05-08,2020-05-11,2020-05-15,2020-05-18,2020-05-22
Atacama,03,Huasco,03304,11264,0,0,0,1,0,0,0,1,1,1,0,0,0
Atacama,03,Tierra Amarilla,03103,14312,4,4,4,2,0,1,2,4,2,12,13,10,5
Atacama,03,Vallenar,03301,57009,0,0,0,0,7,12,12,14,13,19,15,13,5
Atacama,03,Total,,314709,9,9,9,7,7,14,26,47,50,80,68,60,49
,,,,,,,,,,,,,,,,,
Coquimbo,04,Andacollo,04103,11791,0,0,0,0,0,0,0,2,3,2,1,1,0
Coquimbo,04,Canela,04202,9546,0,0,0,0,0,0,0,0,1,1,0,0,1
Coquimbo,04,Combarbala,04302,13884,0,0,0,0,0,0,0,0,0,2,1,3,3
Coquimbo,04,Coquimbo,04102,256735,1,2,0,2,3,4,6,8,9,11,14,17,11
Coquimbo,04,Illapel,04201,32801,13,12,10,7,0,0,0,1,1,1,0,0,0
Coquimbo,04,La Higuera,04104,4450,0,0,0,0,0,0,0,0,0,0,0,0,0
Coquimbo,04,La Serena,04101,249656,2,1,1,2,4,5,3,9,12,17,26,28,41
Coquimbo,04,Los Vilos,04203,23374,0,0,0,0,0,0,0,0,0,0,0,0,0
Coquimbo,04,Monte Patria,04303,32527,0,0,0,0,0,0,0,0,0,0,3,3,13
Coquimbo,04,Ovalle,04301,121269,0,1,0,0,0,0,1,2,5,13,20,27,24
Coquimbo,04,Paiguano,04105,4675,0,0,0,0,0,0,0,0,0,0,0,0,0
Coquimbo,04,Punitaqui,04304,12165,0,0,0,0,1,1,1,2,4,6,5,1,0
Coquimbo,04,Rio Hurtado,04305,4372,0,0,0,0,0,0,0,0,0,0,0,0,0
Coquimbo,04,Salamanca,04204,29110,3,3,3,3,1,1,0,1,2,3,2,0,1
Coquimbo,04,Vicuna,04106,29741,0,0,0,0,0,0,0,1,1,1,4,3,2
Coquimbo,04,Total,,836096,19,19,14,14,9,11,11,26,38,57,76,83,96
,,,,,,,,,,,,,,,,,
Valparaiso,05,Algarrobo,05602,15174,0,0,0,0,0,1,1,1,1,2,5,9,13
Valparaiso,05,Cabildo,05402,20663,0,0,0,1,0,3,4,5,2,2,1,1,2
Valparaiso,05,Calera,05502,53591,1,3,5,6,9,9,3,2,0,3,5,6,13
Valparaiso,05,Calle Larga,05302,16482,2,2,3,4,2,1,0,0,4,4,5,2,9
Valparaiso,05,Cartagena,05603,25357,2,2,0,0,4,4,6,4,6,5,8,5,6
Valparaiso,05,Casablanca,05102,29170,2,1,1,1,0,0,0,0,1,1,10,9,10
Valparaiso,05,Catemu,05702,15213,0,0,0,0,0,0,0,1,1,1,1,3,3
Valparaiso,05,Concon,05103,45889,1,2,1,1,3,4,8,6,6,5,6,11,12
Valparaiso,05,El Quisco,05604,17742,2,3,2,4,3,3,1,1,5,7,9,9,7
Valparaiso,05,El Tabo,05605,14338,0,0,1,1,3,2,5,3,1,3,10,7,8
Valparaiso,05,Hijuelas,05503,19099,0,0,0,1,0,0,0,0,0,0,1,2,4
Valparaiso,05,Isla de Pascua,05201,8277,3,1,0,0,0,0,0,0,0,0,0,0,0
Valparaiso,05,Juan Fernandez,05104,1033,0,0,0,0,0,0,0,0,0,0,0,0,0
Valparaiso,05,La Cruz,05504,25321,3,2,2,2,0,0,1,2,6,8,8,6,5
Valparaiso,05,La Ligua,05401,37739,1,0,0,0,0,0,0,1,1,1,0,1,5
Valparaiso,05,Limache,05802,49931,6,8,11,11,11,4,0,0,2,5,23,21,24
Valparaiso,05,Llaillay,05703,26533,0,0,0,0,0,0,2,2,2,2,7,9,25
Valparaiso,05,Los Andes,05301,68093,3,4,4,4,1,0,2,2,8,16,17,18,43
Valparaiso,05,Nogales,05506,23490,0,0,0,0,0,0,0,0,0,1,2,3,6
Valparaiso,05,Olmue,05803,19266,1,1,2,0,0,0,0,0,0,0,1,1,3
Valparaiso,05,Panquehue,05704,7633,0,0,0,0,0,0,0,0,0,0,1,1,1
Valparaiso,05,Papudo,05403,6201,0,0,0,0,0,0,0,0,0,0,0,0,4
Valparaiso,05,Petorca,05404,10558,1,0,0,0,0,0,0,0,0,1,1,1,3
Valparaiso,05,Puchuncavi,05105,20071,0,0,0,0,0,0,0,0,0,0,0,0,4
Valparaiso,05,Putaendo,05705,17645,0,1,1,4,3,2,1,1,2,5,5,5,6
Valparaiso,05,Quillota,05501,97572,5,5,6,4,2,2,3,4,5,6,11,18,17
Valparaiso,05,Quilpue,05801,167085,7,5,5,5,4,3,9,8,12,15,34,41,40
Valparaiso,05,Quintero,05107,36135,0,0,0,0,3,6,4,1,4,4,10,15,9
Valparaiso,05,Rinconada,05303,11263,2,2,2,1,1,0,0,0,0,0,0,2,7
Valparaiso,05,San Antonio,05601,96761,10,8,17,16,20,20,27,34,57,48,59,69,84
Valparaiso,05,San Esteban,05304,20643,0,0,0,1,1,3,2,2,2,5,5,3,4
Valparaiso,05,San Felipe,05701,83494,1,0,0,0,0,0,3,2,4,7,18,23,52
Valparaiso,05,Santa Maria,05706,16367,0,0,0,0,0,0,11,13,12,9,3,1,6
Valparaiso,05,Santo Domingo,05606,11934,2,6,5,4,5,3,4,5,3,3,7,6,8
Valparaiso,05,Valparaiso,05101,315732,15,12,15,18,16,11,34,40,83,78,93,105,93
Valparaiso,05,Villa Alemana,05804,139310,1,1,1,0,1,2,3,5,18,25,33,28,45
Valparaiso,05,Vina del Mar,05109,361371,15,12,14,18,17,17,23,29,51,69,103,122,132
Valparaiso,05,Zapallar,05405,7994,0,0,0,0,0,0,0,0,0,0,0,0,0
Valparaiso,05,Total,,1960170,86,81,98,107,109,100,157,174,299,341,502,563,713
,,,,,,,,,,,,,,,,,
Metropolitana,13,Alhue,13502,7405,0,0,0,0,0,0,0,0,0,0,0,0,0
Metropolitana,13,Buin,13402,109641,15,13,12,17,16,16,27,33,46,68,112,121,150
Metropolitana,13,Calera de Tango,13403,28525,1,0,1,5,5,5,3,1,5,7,10,11,19
Metropolitana,13,Cerrillos,13102,88956,13,18,23,19,24,29,66,169,200,186,161,141,199
Metropolitana,13,Cerro Navia,13103,142465,26,28,40,53,51,50,76,103,125,167,161,157,211
Metropolitana,13,Colina,13301,180353,20,15,15,17,16,20,35,48,105,149,256,255,347
Metropolitana,13,Conchali,13104,139195,24,26,28,35,37,49,75,150,199,208,263,245,317
Metropolitana,13,Curacavi,13503,36430,6,4,4,2,0,0,4,8,9,15,37,41,49
Metropolitana,13,El Bosque,13105,172000,47,42,51,57,51,66,93,114,175,200,268,283,401
Metropolitana,13,El Monte,13602,40014,8,4,6,3,2,4,9,8,10,9,2,15,25
Metropolitana,13,Estacion Central,13106,206792,34,39,41,53,66,95,177,252,277,303,401,406,476
Metropolitana,13,Huechuraba,13107,112528,19,21,22,21,22,19,35,55,108,120,164,148,229
Metropolitana,13,Independencia,13108,142065,27,28,44,68,127,159,257,354,424,440,457,369,389
Metropolitana,13,Isla de Maipo,13603,40171,7,5,3,1,0,2,3,4,3,6,8,7,14
Metropolitana,13,La Cisterna,13109,100434,21,24,23,28,26,30,52,64,92,114,159,180,280
Metropolitana,13,La Florida,13110,402433,72,62,77,78,82,112,166,262,427,554,786,878,971
Metropolitana,13,La Granja,13111,122557,26,22,20,24,22,33,60,107,155,184,382,456,586
Metropolitana,13,La Pintana,13112,189335,34,38,44,55,53,96,126,156,228,237,403,480,524
Metropolitana,13,La Reina,13113,100252,15,13,12,10,7,24,42,66,83,87,101,110,140
Metropolitana,13,Lampa,13302,126898,18,17,14,12,16,23,38,49,86,86,129,114,149
Metropolitana,13,Las Condes,13114,330759,47,38,37,34,41,37,80,133,235,287,410,415,542
Metropolitana,13,Lo Barnechea,13115,124076,23,25,38,47,41,46,73,92,165,171,201,188,243
Metropolitana,13,Lo Espejo,13116,103865,37,33,33,30,23,40,57,75,104,117,235,255,331
Metropolitana,13,Lo Prado,13117,104403,18,14,26,34,34,48,95,118,127,138,130,118,169
Metropolitana,13,Macul,13118,134635,15,9,13,16,32,45,62,89,146,180,255,322,391
Metropolitana,13,Maipu,13119,578605,81,81,102,108,103,118,144,195,260,323,529,513,772
Metropolitana,13,Maria Pinto,13504,14926,0,0,1,0,0,0,2,2,0,0,0,2,3
Metropolitana,13,Melipilla,13501,141612,5,7,12,19,20,24,36,63,60,52,48,57,129
Metropolitana,13,Nunoa,13120,250192,60,64,78,71,73,83,70,92,125,142,283,302,418
Metropolitana,13,Padre Hurtado,13604,74188,11,9,10,11,6,9,22,25,33,37,43,37,71
Metropolitana,13,Paine,13404,82766,5,5,6,4,4,3,7,12,31,35,72,73,85
Metropolitana,13,Pedro Aguirre Cerda,13121,107803,34,44,47,42,36,48,81,112,130,147,249,305,369
Metropolitana,13,Penaflor,13605,101058,9,8,9,14,17,22,29,32,29,29,42,48,73
Metropolitana,13,Penalolen,13122,266798,61,54,65,73,72,96,124,182,284,436,638,739,921
Metropolitana,13,Pirque,13202,30433,5,6,5,5,4,6,17,27,25,25,38,46,46
Metropolitana,13,Providencia,13123,157749,27,22,29,41,39,29,38,53,99,138,191,189,249
Metropolitana,13,Pudahuel,13124,253139,39,35,39,42,40,56,96,127,165,208,234,244,290
Metropolitana,13,Puente Alto,13201,645909,179,169,220,245,263,266,250,398,533,647,802,1070,1234
Metropolitana,13,Quilicura,13125,254694,49,45,48,45,59,113,217,278,351,287,332,284,422
Metropolitana,13,Quinta Normal,13126,136368,45,51,62,66,66,60,111,132,153,187,181,173,223
Metropolitana,13,Recoleta,13127,190075,39,34,51,63,86,116,252,387,534,514,534,506,559
Metropolitana,13,Renca,13128,160847,20,26,42,52,68,72,84,133,166,181,173,182,274
Metropolitana,13,San Bernardo,13401,334836,81,77,105,108,143,162,160,214,268,301,399,478,697
Metropolitana,13,San Joaquin,13129,103485,24,26,40,45,47,59,71,136,216,267,409,449,617
Metropolitana,13,San Jose de Maipo,13203,18644,1,1,1,1,2,3,7,16,23,29,35,35,47
Metropolitana,13,San Miguel,13130,133059,40,39,46,57,48,55,65,90,153,174,250,273,403
Metropolitana,13,San Pedro,13505,11953,0,0,0,1,2,2,7,8,5,3,2,2,3
Metropolitana,13,San Ramon,13131,86510,8,14,15,21,37,55,86,146,198,198,354,344,445
Metropolitana,13,Santiago,13101,503147,169,138,162,149,176,203,387,608,783,809,1116,1059,1210
Metropolitana,13,Talagante,13601,81838,9,9,8,8,9,7,8,10,14,28,34,34,60
Metropolitana,13,Tiltil,13303,21477,1,1,1,1,1,1,2,5,3,2,8,10,17
Metropolitana,13,Vitacura,13132,96774,19,11,8,8,5,11,23,29,68,99,155,161,190
Metropolitana,13,Total,,8125072,1595,1620,1839,2019,2220,2727,4107,6022,8243,9331,12642,13330,16979
,,,,,,,,,,,,,,,,,
Del Libertador General Bernardo O’Higgins,06,Chepica,06302,15925,0,0,0,0,0,0,0,0,0,0,1,3,6
Del Libertador General Bernardo O’Higgins,06,Chimbarongo,06303,37696,0,0,0,0,0,0,0,0,0,0,3,2,3
Del Libertador General Bernardo O’Higgins,06,Codegua,06102,14096,0,0,0,0,0,0,1,1,0,1,1,1,3
Del Libertador General Bernardo O’Higgins,06,Coinco,06103,7831,0,0,0,0,1,1,1,1,1,1,3,4,5
Del Libertador General Bernardo O’Higgins,06,Coltauco,06104,21263,0,0,0,0,0,0,0,0,1,3,9,15,7
Del Libertador General Bernardo O’Higgins,06,Donihue,06105,22700,0,0,0,0,1,1,2,1,3,5,6,9,10
Del Libertador General Bernardo O’Higgins,06,Graneros,06106,36504,0,0,0,0,2,2,2,1,8,15,18,16,12
Del Libertador General Bernardo O’Higgins,06,La Estrella,06202,3114,0,0,0,0,0,0,0,0,0,0,0,0,0
Del Libertador General Bernardo O’Higgins,06,Las Cabras,06107,26749,0,1,1,0,2,2,3,7,4,2,2,2,3
Del Libertador General Bernardo O’Higgins,06,Litueche,06203,6765,0,0,0,0,1,3,6,7,2,2,1,1,2
Del Libertador General Bernardo O’Higgins,06,Lolol,06304,7289,0,0,0,0,0,0,0,0,0,0,0,1,3
Del Libertador General Bernardo O’Higgins,06,Machali,06108,59913,0,0,1,3,8,5,5,4,4,5,6,6,7
Del Libertador General Bernardo O’Higgins,06,Malloa,06109,14163,0,0,0,0,0,0,0,0,0,0,1,2,1
Del Libertador General Bernardo O’Higgins,06,Marchihue,06204,7632,0,0,0,0,0,0,0,0,0,0,0,0,0
Del Libertador General Bernardo O’Higgins,06,Mostazal,06110,27462,0,0,0,0,0,0,0,1,1,3,3,5,2
Del Libertador General Bernardo O’Higgins,06,Nancagua,06305,19141,0,0,0,0,0,0,1,1,1,2,2,3,3
Del Libertador General Bernardo O’Higgins,06,Navidad,06205,6904,0,0,0,0,0,0,2,2,1,1,5,5,5
Del Libertador General Bernardo O’Higgins,06,Olivar,06111,14624,3,4,3,3,1,0,0,0,0,1,7,8,6
Del Libertador General Bernardo O’Higgins,06,Palmilla,06306,13299,0,0,0,0,0,0,0,0,0,0,0,0,0
Del Libertador General Bernardo O’Higgins,06,Paredones,06206,6349,0,0,0,0,0,0,0,0,0,0,0,2,2
Del Libertador General Bernardo O’Higgins,06,Peralillo,06307,11848,0,0,0,0,0,0,0,0,0,0,0,0,2
Del Libertador General Bernardo O’Higgins,06,Peumo,06112,14952,0,0,0,0,0,0,1,1,2,1,1,1,2
Del Libertador General Bernardo O’Higgins,06,Pichidegua,06113,20743,0,0,0,0,0,0,0,0,1,1,2,4,4
Del Libertador General Bernardo O’Higgins,06,Pichilemu,06201,17882,0,0,0,0,0,0,0,0,0,1,1,3,2
Del Libertador General Bernardo O’Higgins,06,Placilla,06308,9164,0,0,0,0,0,0,0,0,0,0,1,3,3
Del Libertador General Bernardo O’Higgins,06,Pumanque,06309,3531,0,0,0,0,0,0,0,0,0,0,0,0,0
Del Libertador General Bernardo O’Higgins,06,Quinta de Tilcoco,06114,13877,0,0,0,0,0,0,0,0,0,0,0,1,1
Del Libertador General Bernardo O’Higgins,06,Rancagua,06101,265211,3,3,3,1,8,11,15,18,29,45,74,105,82
Del Libertador General Bernardo O’Higgins,06,Rengo,06115,63710,0,0,0,0,1,5,5,6,5,3,4,8,7
Del Libertador General Bernardo O’Higgins,06,Requinoa,06116,30371,0,0,0,0,1,2,2,2,2,1,4,4,3
Del Libertador General Bernardo O’Higgins,06,San Fernando,06301,78642,1,1,1,2,2,2,1,1,2,1,4,7,4
Del Libertador General Bernardo O’Higgins,06,San Vicente,06117,50617,1,0,0,0,0,0,4,5,5,6,11,15,18
Del Libertador General Bernardo O’Higgins,06,Santa Cruz,06310,41096,1,0,0,0,1,1,0,0,0,1,2,3,4
Del Libertador General Bernardo O’Higgins,06,Total,,991063,9,9,9,9,29,35,51,59,72,101,172,239,212
,,,,,,,,,,,,,,,,,
Maule,07,Cauquenes,07201,44143,2,2,4,5,6,6,3,2,0,1,7,9,10
Maule,07,Chanco,07202,9331,0,0,0,1,1,2,1,1,0,0,0,0,0
Maule,07,Colbun,07402,22565,2,1,0,0,0,0,0,0,0,3,4,6,9
Maule,07,Constitucion,07102,50348,1,1,5,5,11,8,3,5,3,1,3,4,4
Maule,07,Curepto,07103,9426,3,2,4,4,4,3,0,0,0,1,0,1,2
Maule,07,Curico,07301,163626,8,8,12,15,10,9,11,6,8,11,13,28,50
Maule,07,Empedrado,07104,4206,0,0,0,0,0,0,0,0,0,0,0,0,0
Maule,07,Hualane,07302,10222,0,0,0,0,0,0,0,0,0,0,0,0,1
Maule,07,Licanten,07303,6989,0,0,1,1,1,1,0,0,0,0,0,0,0
Maule,07,Linares,07401,101073,5,3,7,8,8,4,4,3,6,7,17,17,21
Maule,07,Longavi,07403,32810,0,0,0,1,1,1,0,0,2,3,5,7,11
Maule,07,Maule,07105,60000,2,2,5,9,16,12,2,1,2,1,4,5,11
Maule,07,Molina,07304,49800,0,0,0,1,3,2,0,0,1,2,1,1,2
Maule,07,Parral,07404,44544,2,2,2,1,2,1,1,0,0,0,2,4,8
Maule,07,Pelarco,07106,9083,3,3,5,5,2,0,0,0,1,3,8,5,8
Maule,07,Pelluhue,07203,8092,0,0,0,0,0,0,0,0,0,0,3,5,7
Maule,07,Pencahue,07107,8601,0,0,1,2,3,2,0,0,0,0,0,0,0
Maule,07,Rauco,07305,11248,1,1,1,0,0,0,0,0,0,0,0,1,1
Maule,07,Retiro,07405,21071,1,1,2,2,0,0,0,0,1,1,1,0,1
Maule,07,Rio Claro,07108,14753,2,2,4,3,3,1,2,2,1,0,2,2,2
Maule,07,Romeral,07306,16170,0,0,1,8,9,9,1,0,0,0,0,0,0
Maule,07,Sagrada Familia,07307,19469,1,1,0,0,1,1,1,0,0,0,0,0,1
Maule,07,San Clemente,07109,46292,0,0,4,6,8,6,2,1,5,9,11,7,13
Maule,07,San Javier,07406,49451,6,5,4,6,10,5,4,3,3,3,9,9,15
Maule,07,San Rafael,07110,9959,1,1,1,1,1,1,0,0,1,1,3,8,22
Maule,07,Talca,07101,236724,7,10,47,76,82,72,24,15,6,5,28,29,65
Maule,07,Teno,07308,30850,1,1,1,1,0,0,2,2,3,2,2,2,2
Maule,07,Vichuquen,07309,4381,0,0,0,0,0,0,0,0,0,0,0,0,0
Maule,07,Villa Alegre,07407,17512,0,0,0,1,1,1,1,0,0,0,1,1,1
Maule,07,Yerbas Buenas,07408,19200,0,0,0,1,0,0,1,1,1,1,3,6,10
Maule,07,Total,,1131939,48,46,111,163,183,147,63,42,44,55,127,157,277
,,,,,,,,,,,,,,,,,
Nuble,16,Bulnes,16102,22607,13,9,6,7,8,7,3,11,14,13,36,55,50
Nuble,16,Chillan,16101,198624,79,61,51,35,37,31,19,18,13,20,28,66,62
Nuble,16,Chillan Viejo,16103,33827,13,11,7,9,3,3,1,0,0,2,4,10,14
Nuble,16,Cobquecura,16202,5275,0,0,0,0,0,0,0,0,0,0,0,0,0
Nuble,16,Coelemu,16203,16845,2,0,0,0,0,0,0,0,0,0,0,1,2
Nuble,16,Coihueco,16302,28375,6,4,5,12,13,12,13,10,5,2,3,7,7
Nuble,16,El Carmen,16104,12334,1,1,1,0,0,0,0,0,0,1,1,2,2
Nuble,16,Ninhue,16204,5414,2,2,2,2,2,1,0,0,0,0,0,1,1
Nuble,16,Niquen,16303,11567,2,2,2,2,0,0,0,0,0,0,0,0,1
Nuble,16,Pemuco,16105,8639,3,2,1,1,1,0,0,0,0,1,3,4,2
Nuble,16,Pinto,16106,11880,5,4,3,2,2,1,0,0,0,0,0,2,5
Nuble,16,Portezuelo,16205,4940,1,0,0,0,0,0,0,0,0,0,2,4,6
Nuble,16,Quillon,16107,18777,5,0,0,1,0,1,3,4,2,3,2,7,6
Nuble,16,Quirihue,16201,12192,2,0,0,0,1,1,1,0,0,4,8,10,6
Nuble,16,Ranquil,16206,6261,5,2,0,0,0,0,0,0,0,0,0,0,0
Nuble,16,San Carlos,16301,56252,12,10,5,4,3,5,4,3,2,6,8,10,8
Nuble,16,San Fabian,16304,4654,1,1,1,0,1,1,0,0,0,0,0,0,0
Nuble,16,San Ignacio,16108,16624,1,1,1,0,1,1,2,3,3,2,1,3,3
Nuble,16,San Nicolas,16305,12172,5,6,4,3,2,0,0,0,0,0,2,2,4
Nuble,16,Treguaco,16207,5696,0,0,0,0,0,0,0,0,0,0,0,0,0
Nuble,16,Yungay,16109,18596,25,17,13,4,3,4,5,8,4,1,3,3,3
Nuble,16,Total,,511551,183,133,102,82,77,68,51,57,43,55,101,187,182
,,,,,,,,,,,,,,,,,
Biobio,08,Alto Biobio,08314,6775,0,0,0,0,0,0,0,0,0,0,0,0,1
Biobio,08,Antuco,08302,4306,0,0,0,0,0,0,0,0,1,2,3,3,2
Biobio,08,Arauco,08202,38679,2,0,0,0,0,0,0,0,5,9,7,6,13
Biobio,08,Cabrero,08303,30725,7,4,5,3,6,8,6,2,6,4,4,5,4
Biobio,08,Canete,08203,37003,0,0,0,0,0,0,0,0,1,0,0,0,3
Biobio,08,Chiguayante,08103,91180,27,13,8,7,16,13,11,11,8,8,6,9,9
Biobio,08,Concepcion,08101,238092,22,46,42,33,32,23,19,9,23,33,27,26,39
Biobio,08,Contulmo,08204,6330,0,0,0,0,0,0,0,0,0,0,0,0,0
Biobio,08,Coronel,08102,125829,9,2,2,1,0,2,5,4,7,7,15,21,22
Biobio,08,Curanilahue,08205,33892,0,0,0,0,1,1,0,0,2,2,2,3,1
Biobio,08,Florida,08104,11841,0,1,0,0,0,0,0,0,0,0,0,0,0
Biobio,08,Hualpen,08112,97273,67,24,18,15,13,11,3,4,9,10,14,14,15
Biobio,08,Hualqui,08105,26201,4,5,6,5,10,7,2,0,0,1,2,4,6
Biobio,08,Laja,08304,23873,0,1,1,1,4,6,6,5,3,11,29,34,31
Biobio,08,Lebu,08201,27100,0,0,0,0,0,0,0,0,0,2,1,1,0
Biobio,08,Los Alamos,08206,22524,0,0,0,0,1,0,0,0,0,0,0,0,0
Biobio,08,Los Angeles,08301,218515,4,1,2,4,3,3,2,0,2,13,39,61,78
Biobio,08,Lota,08106,45750,0,0,0,0,0,0,0,1,8,12,13,21,17
Biobio,08,Mulchen,08305,31041,0,0,0,0,0,0,0,1,2,4,4,3,1
Biobio,08,Nacimiento,08306,27944,4,5,3,2,1,0,0,2,5,9,8,8,8
Biobio,08,Negrete,08307,10429,2,2,0,0,0,0,0,0,0,3,7,14,21
Biobio,08,Penco,08107,49865,5,5,6,7,9,7,2,2,2,1,2,3,3
Biobio,08,Quilaco,08308,4179,0,0,0,0,0,0,0,0,0,0,0,0,0
Biobio,08,Quilleco,08309,10032,0,0,0,1,1,0,0,0,0,0,0,0,0
Biobio,08,San Pedro de la Paz,08108,145906,29,17,14,13,15,10,3,5,6,9,12,13,21
Biobio,08,San Rosendo,08310,3611,0,0,0,0,0,0,0,0,0,0,0,2,2
Biobio,08,Santa Barbara,08311,14592,0,0,0,0,0,0,0,0,0,0,5,10,10
Biobio,08,Santa Juana,08109,14779,0,0,0,0,1,1,1,0,0,0,0,0,0
Biobio,08,Talcahuano,08110,158345,17,31,22,28,24,24,23,27,22,27,23,24,31
Biobio,08,Tirua,08207,11019,1,0,0,0,0,0,0,0,0,0,0,0,0
Biobio,08,Tome,08111,58729,27,17,14,10,12,10,3,1,1,14,17,17,9
Biobio,08,Tucapel,08312,15205,1,0,1,0,0,0,0,0,0,0,0,3,3
Biobio,08,Yumbel,08313,22132,0,0,0,1,1,1,0,1,4,6,4,3,1
Biobio,08,Total,,1663696,233,174,144,131,150,127,86,75,117,187,244,308,351
,,,,,,,,,,,,,,,,,
La Araucania,09,Angol,09201,56058,12,17,14,25,34,38,41,29,18,14,12,9,6
La Araucania,09,Carahue,09102,25486,14,15,14,12,10,6,2,4,3,2,1,0,3
La Araucania,09,Cholchol,09121,12341,0,0,1,1,1,0,0,0,0,0,1,1,2
La Araucania,09,Collipulli,09202,26148,1,1,0,1,0,1,2,2,0,0,0,1,4
La Araucania,09,Cunco,09103,18055,1,2,1,0,0,0,0,0,1,1,1,2,13
La Araucania,09,Curacautin,09203,18178,3,2,2,0,1,1,1,2,1,1,1,1,0
La Araucania,09,Curarrehue,09104,7802,0,0,0,0,0,0,0,0,0,0,0,0,0
La Araucania,09,Ercilla,09204,8458,3,2,3,4,5,4,4,1,1,0,0,0,0
La Araucania,09,Freire,09105,25446,0,0,0,1,2,2,0,0,0,2,11,16,14
La Araucania,09,Galvarino,09106,12633,1,0,0,0,0,0,0,0,1,1,2,1,0
La Araucania,09,Gorbea,09107,15148,1,0,1,1,2,2,1,0,1,1,2,3,1
La Araucania,09,Lautaro,09108,40746,13,10,4,7,5,7,2,2,7,15,14,10,8
La Araucania,09,Loncoche,09109,24739,4,3,3,3,0,1,5,4,2,3,2,2,2
La Araucania,09,Lonquimay,09205,11049,0,0,0,0,0,0,0,0,5,7,13,17,33
La Araucania,09,Los Sauces,09206,7517,0,0,0,0,0,0,0,0,0,0,0,0,0
La Araucania,09,Lumaco,09207,10050,0,0,0,0,0,1,5,2,1,1,0,0,1
La Araucania,09,Melipeuco,09110,6265,0,0,0,0,0,0,0,0,0,0,0,0,0
La Araucania,09,Nueva Imperial,09111,33777,8,11,11,12,9,8,4,3,2,4,11,9,5
La Araucania,09,Padre Las Casas,09112,82110,19,15,11,20,16,21,12,8,2,1,9,12,18
La Araucania,09,Perquenco,09113,7223,1,0,1,3,3,2,0,0,0,0,0,0,0
La Araucania,09,Pitrufquen,09114,26096,4,3,0,1,1,1,0,0,0,0,0,2,7
La Araucania,09,Pucon,09115,29782,1,2,5,2,1,3,2,1,2,1,2,3,2
La Araucania,09,Puren,09208,12188,0,0,0,0,0,0,1,1,1,2,1,1,0
