Region,Comuna,Poblacion,Casos Confirmados
La Araucania,Teodoro Schmidt,15786,4
La Araucania,Tolten,10055,-
La Araucania,Traiguen,19314,-
La Araucania,Victoria,35467,7
La Araucania,Vilcun,30766,5
La Araucania,Villarrica,59103,4
Los Rios,Corral,5447,-
Los Rios,Futrono,15261,-
Los Rios,La Union,39538,9
Los Rios,Lago Ranco,10292,-
Los Rios,Lanco,17652,-
Los Rios,Los Lagos,20518,-
Los Rios,Mafil,7389,-
Los Rios,Mariquina,23250,-
Los Rios,Paillaco,20798,-
Los Rios,Panguipulli,35991,-
Los Rios,Rio Bueno,32925,-
Los Rios,Valdivia,176774,45
Los Lagos,Ancud,42458,-
Los Lagos,Calbuco,36744,5
Los Lagos,Castro,47607,-
Los Lagos,Chaiten,5020,-
Los Lagos,Chonchi,16013,-
Los Lagos,Cochamo,4006,-
Los Lagos,Curaco de Velez,4066,-
Los Lagos,Dalcahue,15069,-
Los Lagos,Fresia,12656,-
Los Lagos,Frutillar,20223,-
Los Lagos,Futaleufu,2806,-
Los Lagos,Hualaihue,9525,-
Los Lagos,Llanquihue,18621,-
Los Lagos,Los Muermos,17817,-
Los Lagos,Maullin,14894,-
Los Lagos,Osorno,173410,120
Los Lagos,Palena,1827,-
Los Lagos,Puerto Montt,269398,44
Los Lagos,Puerto Octay,9192,-
Los Lagos,Puerto Varas,48620,-
Los Lagos,Puqueldon,4201,-
Los Lagos,Purranque,21080,-
Los Lagos,Puyehue,11787,-
Los Lagos,Queilen,5543,-
Los Lagos,Quellon,29309,-
Los Lagos,Quemchi,8783,-
Los Lagos,Quinchao,8298,-
Los Lagos,Rio Negro,14275,-
Los Lagos,San Juan de la Costa,7639,-
Los Lagos,San Pablo,10553,-
Aisen,Aisen,25002,-
Aisen,Chile Chico,5121,-
Aisen,Cisnes,5828,-
Aisen,Cochrane,3685,-
Aisen,Coyhaique,61210,-
Aisen,Guaitecas,1599,-
Aisen,Lago Verde,920,-
Aisen,OHiggins,661,-
Aisen,Rio Ibanez,2699,-
Aisen,Tortel,572,-
Magallanes y la Antartica,Antartica,137,-
Magallanes y la Antartica,Cabo de Hornos,1983,6
Magallanes y la Antartica,Laguna Blanca,264,-
Magallanes y la Antartica,Natales,23782,4
Magallanes y la Antartica,Porvenir,7323,-
Magallanes y la Antartica,Primavera,694,-
Magallanes y la Antartica,Punta Arenas,141984,87
Magallanes y la Antartica,Rio Verde,211,-
Magallanes y la Antartica,San Gregorio,681,-
Magallanes y la Antartica,Timaukel,282,-
Magallanes y la Antartica,Torres del Paine,1021,-
