Establecimiento,Examenes,fecha,Numero de PCR
Instituto de salud pública,realizados,2020-04-27,14623
Hospitales público,realizados,2020-04-27,84556
Privados,realizados,2020-04-27,62056
Instituto de salud pública,informados ultimo dia,2020-04-27,242
Hospitales público,informados ultimo dia,2020-04-27,2848
Privados,informados ultimo dia,2020-04-27,2170
Total realizados,realizados,2020-04-27,161235
Total informados ultimo dia,informados ultimo dia,2020-04-27,5260
Instituto de salud pública,realizados,2020-04-28,14896
Hospitales público,realizados,2020-04-28,87485
Privados,realizados,2020-04-28,63784
Instituto de salud pública,informados ultimo dia,2020-04-28,273
Hospitales público,informados ultimo dia,2020-04-28,2929
Privados,informados ultimo dia,2020-04-28,1728
Total realizados,realizados,2020-04-28,166165
Total informados ultimo dia,informados ultimo dia,2020-04-28,4930
Instituto de salud pública,realizados,2020-04-29,15239
Hospitales público,realizados,2020-04-29,90218
Privados,realizados,2020-04-29,67162
Instituto de salud pública,informados ultimo dia,2020-04-29,343
Hospitales público,informados ultimo dia,2020-04-29,2733
Privados,informados ultimo dia,2020-04-29,3378
Total realizados,realizados,2020-04-29,172619
Total informados ultimo dia,informados ultimo dia,2020-04-29,6454
Instituto de salud pública,realizados,2020-04-30,15681
Hospitales público,realizados,2020-04-30,93626
Privados,realizados,2020-04-30,71210
Instituto de salud pública,informados ultimo dia,2020-04-30,442
Hospitales público,informados ultimo dia,2020-04-30,3408
Privados,informados ultimo dia,2020-04-30,4048
Total realizados,realizados,2020-04-30,180517
Total informados ultimo dia,informados ultimo dia,2020-04-30,7898
Instituto de salud pública,realizados,2020-05-01,16144
Hospitales público,realizados,2020-05-01,97378
Privados,realizados,2020-05-01,75911
Instituto de salud pública,informados ultimo dia,2020-05-01,463
Hospitales público,informados ultimo dia,2020-05-01,3752
Privados,informados ultimo dia,2020-05-01,4701
Total realizados,realizados,2020-05-01,189433
Total informados ultimo dia,informados ultimo dia,2020-05-01,8916
Instituto de salud pública,realizados,2020-05-02,16680
Hospitales público,realizados,2020-05-02,101519
Privados,realizados,2020-05-02,81201
Instituto de salud pública,informados ultimo dia,2020-05-02,536
Hospitales público,informados ultimo dia,2020-05-02,4141
Privados,informados ultimo dia,2020-05-02,5290
Total realizados,realizados,2020-05-02,199400
Total informados ultimo dia,informados ultimo dia,2020-05-02,9967
Instituto de salud pública,realizados,2020-05-03,17229
Hospitales público,realizados,2020-05-03,105222
Privados,realizados,2020-05-03,83767
Instituto de salud pública,informados ultimo dia,2020-05-03,549
Hospitales público,informados ultimo dia,2020-05-03,3703
Privados,informados ultimo dia,2020-05-03,2566
Total realizados,realizados,2020-05-03,206218
Total informados ultimo dia,informados ultimo dia,2020-05-03,6818
Instituto de salud pública,realizados,2020-05-04,17669
Hospitales público,realizados,2020-05-04,109158
Privados,realizados,2020-05-04,87304
Instituto de salud pública,informados ultimo dia,2020-05-04,440
Hospitales público,informados ultimo dia,2020-05-04,3936
Privados,informados ultimo dia,2020-05-04,3537
Total realizados,realizados,2020-05-04,214131
Total informados ultimo dia,informados ultimo dia,2020-05-04,7913
Instituto de salud pública,realizados,2020-05-05,18206
Hospitales público,realizados,2020-05-05,112939
Privados,realizados,2020-05-05,90950
Instituto de salud pública,informados ultimo dia,2020-05-05,537
Hospitales público,informados ultimo dia,2020-05-05,3781
Privados,informados ultimo dia,2020-05-05,3646
Total realizados,realizados,2020-05-05,222095
Total informados ultimo dia,informados ultimo dia,2020-05-05,7964
Instituto de salud pública,realizados,2020-05-06,18636
Hospitales público,realizados,2020-05-06,117156
Privados,realizados,2020-05-06,96316
Instituto de salud pública,informados ultimo dia,2020-05-06,430
Hospitales público,informados ultimo dia,2020-05-06,4217
Privados,informados ultimo dia,2020-05-06,5366
Total realizados,realizados,2020-05-06,232108
Total informados ultimo dia,informados ultimo dia,2020-05-06,10013
Instituto de salud pública,realizados,2020-05-07,19836
Hospitales público,realizados,2020-05-07,121905
Privados,realizados,2020-05-07,102485
Instituto de salud pública,informados ultimo dia,2020-05-07,1200
Hospitales público,informados ultimo dia,2020-05-07,4749
Privados,informados ultimo dia,2020-05-07,6169
Total realizados,realizados,2020-05-07,244226
Total informados ultimo dia,informados ultimo dia,2020-05-07,12118
Instituto de salud pública,realizados,2020-05-08,20472
Hospitales público,realizados,2020-05-08,126551
Privados,realizados,2020-05-08,108938
Instituto de salud pública,informados ultimo dia,2020-05-08,636
Hospitales público,informados ultimo dia,2020-05-08,4646
Privados,informados ultimo dia,2020-05-08,6453
Total realizados,realizados,2020-05-08,255961
Total informados ultimo dia,informados ultimo dia,2020-05-08,11735
Instituto de salud pública,realizados,2020-05-09,21276
Hospitales público,realizados,2020-05-09,131117
Privados,realizados,2020-05-09,115511
Instituto de salud pública,informados ultimo dia,2020-05-09,804
Hospitales público,informados ultimo dia,2020-05-09,4566
Privados,informados ultimo dia,2020-05-09,6573
Total realizados,realizados,2020-05-09,267904
Total informados ultimo dia,informados ultimo dia,2020-05-09,11943
Instituto de salud pública,realizados,2020-05-10,21878
Hospitales público,realizados,2020-05-10,137284
Privados,realizados,2020-05-10,121522
Instituto de salud pública,informados ultimo dia,2020-05-10,602
Hospitales público,informados ultimo dia,2020-05-10,6167
Privados,informados ultimo dia,2020-05-10,6011
Total realizados,realizados,2020-05-10,280684
Total informados ultimo dia,informados ultimo dia,2020-05-10,12780
Instituto de salud pública,realizados,2020-05-11,22461
Hospitales público,realizados,2020-05-11,142795
Privados,realizados,2020-05-11,128801
Instituto de salud pública,informados ultimo dia,2020-05-11,583
Hospitales público,informados ultimo dia,2020-05-11,5511
Privados,informados ultimo dia,2020-05-11,7279
Total realizados,realizados,2020-05-11,294057
Total informados ultimo dia,informados ultimo dia,2020-05-11,13373
Instituto de salud pública,realizados,2020-05-12,23542
Hospitales público,realizados,2020-05-12,146747
Privados,realizados,2020-05-12,133051
Instituto de salud pública,informados ultimo dia,2020-05-12,1081
Hospitales público,informados ultimo dia,2020-05-12,3952
Privados,informados ultimo dia,2020-05-12,4250
Total realizados,realizados,2020-05-12,303340
Total informados ultimo dia,informados ultimo dia,2020-05-12,9283
Instituto de salud pública,realizados,2020-05-13,24239
Hospitales público,realizados,2020-05-13,150570
Privados,realizados,2020-05-13,138941
Instituto de salud pública,informados ultimo dia,2020-05-13,697
Hospitales público,informados ultimo dia,2020-05-13,3823
Privados,informados ultimo dia,2020-05-13,5890
Total realizados,realizados,2020-05-13,313750
Total informados ultimo dia,informados ultimo dia,2020-05-13,10410
Instituto de salud pública,realizados,2020-05-14,25330
Hospitales público,realizados,2020-05-14,155863
Privados,realizados,2020-05-14,144224
Instituto de salud pública,informados ultimo dia,2020-05-14,1091
Hospitales público,informados ultimo dia,2020-05-14,5293
Privados,informados ultimo dia,2020-05-14,5118
Total realizados,realizados,2020-05-14,325417
Total informados ultimo dia,informados ultimo dia,2020-05-14,11502
Instituto de salud pública,realizados,2020-05-15,26266
Hospitales público,realizados,2020-05-15,162975
Privados,realizados,2020-05-15,152271
Instituto de salud pública,informados ultimo dia,2020-05-15,936
Hospitales público,informados ultimo dia,2020-05-15,7112
Privados,informados ultimo dia,2020-05-15,8047
Total realizados,realizados,2020-05-15,341512
Total informados ultimo dia,informados ultimo dia,2020-05-15,16095
Instituto de salud pública,realizados,2020-05-16,27511
Hospitales público,realizados,2020-05-16,166097
Privados,realizados,2020-05-16,156717
Instituto de salud pública,informados ultimo dia,2020-05-16,1245
Hospitales público,informados ultimo dia,2020-05-16,3122
Privados,informados ultimo dia,2020-05-16,4446
Total realizados,realizados,2020-05-16,350325
Total informados ultimo dia,informados ultimo dia,2020-05-16,8813
Instituto de salud pública,realizados,2020-05-17,28860
Hospitales público,realizados,2020-05-17,172275
Privados,realizados,2020-05-17,162361
Instituto de salud pública,informados ultimo dia,2020-05-17,1349
Hospitales público,informados ultimo dia,2020-05-17,6178
Privados,informados ultimo dia,2020-05-17,5644
Total realizados,realizados,2020-05-17,363496
Total informados ultimo dia,informados ultimo dia,2020-05-17,13171
Instituto de salud pública,realizados,2020-05-18,29789
Hospitales público,realizados,2020-05-18,179351
Privados,realizados,2020-05-18,171871
Instituto de salud pública,informados ultimo dia,2020-05-18,929
Hospitales público,informados ultimo dia,2020-05-18,7076
Privados,informados ultimo dia,2020-05-18,9510
Total realizados,realizados,2020-05-18,381011
Total informados ultimo dia,informados ultimo dia,2020-05-18,17515
Instituto de salud pública,realizados,2020-05-19,31366
Hospitales público,realizados,2020-05-19,186696
Privados,realizados,2020-05-19,179138
Instituto de salud pública,informados ultimo dia,2020-05-19,1577
Hospitales público,informados ultimo dia,2020-05-19,7345
Privados,informados ultimo dia,2020-05-19,7267
Total realizados,realizados,2020-05-19,397200
Total informados ultimo dia,informados ultimo dia,2020-05-19,16189
Instituto de salud pública,realizados,2020-05-20,33072
Hospitales público,realizados,2020-05-20,192548
Privados,realizados,2020-05-20,184049
Instituto de salud pública,informados ultimo dia,2020-05-20,1706
Hospitales público,informados ultimo dia,2020-05-20,5852
Privados,informados ultimo dia,2020-05-20,4911
Total realizados,realizados,2020-05-20,409669
Total informados ultimo dia,informados ultimo dia,2020-05-20,12469
Instituto de salud pública,realizados,2020-05-21,34455
Hospitales público,realizados,2020-05-21,198250
Privados,realizados,2020-05-21,193298
Instituto de salud pública,informados ultimo dia,2020-05-21,1383
Hospitales público,informados ultimo dia,2020-05-21,5702
Privados,informados ultimo dia,2020-05-21,9249
Total realizados,realizados,2020-05-21,426003
Total informados ultimo dia,informados ultimo dia,2020-05-21,16334
Instituto de salud pública,realizados,2020-05-22,35392
Hospitales público,realizados,2020-05-22,203858
Privados,realizados,2020-05-22,202843
Instituto de salud pública,informados ultimo dia,2020-05-22,937
Hospitales público,informados ultimo dia,2020-05-22,5608
Privados,informados ultimo dia,2020-05-22,9545
Total realizados,realizados,2020-05-22,442093
Total informados ultimo dia,informados ultimo dia,2020-05-22,16090
Instituto de salud pública,realizados,2020-05-23,36886
Hospitales público,realizados,2020-05-23,209406
Privados,realizados,2020-05-23,211040
Instituto de salud pública,informados ultimo dia,2020-05-23,1494
Hospitales público,informados ultimo dia,2020-05-23,5548
Privados,informados ultimo dia,2020-05-23,8197
Total realizados,realizados,2020-05-23,457332
Total informados ultimo dia,informados ultimo dia,2020-05-23,15239
