Region,Codigo region,Comuna,Codigo comuna,Poblacion,2020-03-30,2020-04-01,2020-04-03,2020-04-06,2020-04-08,2020-04-10,2020-04-13,2020-04-15,2020-04-17,2020-04-20,2020-04-24
Metropolitana,13,Independencia,13108.0,142065.0,10.6,16.3,15.5,18.3,21.8,26.0,36.6,42.2,56.3,80.9,138.0
Metropolitana,13,Isla de Maipo,13603.0,40171.0,0.0,2.5,2.5,10.0,17.4,24.9,24.9,27.4,27.4,27.4,27.4
Metropolitana,13,La Cisterna,13109.0,100434.0,10.0,11.9,11.9,19.9,25.9,33.9,38.8,44.8,46.8,60.7,72.7
Metropolitana,13,La Florida,13110.0,402433.0,10.7,14.4,16.6,22.6,25.6,31.3,41.0,43.7,52.4,57.4,70.1
Metropolitana,13,La Granja,13111.0,122557.0,4.1,25.9,13.1,19.6,21.2,29.4,37.5,41.6,49.0,56.3,65.3
Metropolitana,13,La Pintana,13112.0,189335.0,1.1,7.9,6.9,9.5,13.2,20.6,29.0,37.0,46.5,56.5,67.6
Metropolitana,13,La Reina,13113.0,100252.0,23.9,62.9,29.9,34.9,43.9,51.9,53.9,55.9,58.9,61.8,64.8
Metropolitana,13,Lampa,13302.0,126898.0,7.9,62.9,10.2,11.0,14.2,20.5,29.2,32.3,35.5,37.8,45.7
Metropolitana,13,Las Condes,13114.0,330759.0,54.7,6.7,67.7,78.0,80.4,85.0,89.5,92.5,96.7,98.6,104.6
Metropolitana,13,Lo Barnechea,13115.0,124076.0,54.8,6.5,68.5,78.2,84.6,88.7,93.5,100.7,116.1,126.5,137.0
Metropolitana,13,Lo Espejo,13116.0,103865.0,3.9,5.3,8.7,14.4,22.1,32.7,46.2,53.9,57.8,64.5,77.0
Metropolitana,13,Lo Prado,13117.0,104403.0,13.4,17.2,19.2,23.9,30.7,33.5,41.2,45.0,59.4,71.8,84.3
Metropolitana,13,Macul,13118.0,134635.0,7.4,11.1,17.1,25.3,27.5,31.9,36.4,37.9,42.3,47.5,66.1
Metropolitana,13,Maipu,13119.0,578605.0,7.4,9.5,11.1,14.3,18.3,28.9,35.1,41.7,49.1,53.9,62.9
Metropolitana,13,Maria Pinto,13504.0,14926.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.7,6.7,6.7
Metropolitana,13,Melipilla,13501.0,141612.0,4.2,5.6,6.4,7.8,8.5,11.3,12.0,13.4,17.7,24.7,28.2
Metropolitana,13,Nunoa,13120.0,250192.0,26.8,33.6,37.2,42.8,47.2,62.0,68.3,75.1,86.7,95.9,107.5
Metropolitana,13,Padre Hurtado,13604.0,74188.0,13.5,14.8,18.9,21.6,24.3,27.0,35.0,36.4,37.7,43.1,47.2
Metropolitana,13,Paine,13404.0,82766.0,3.6,3.6,3.6,3.6,3.6,8.5,9.7,10.9,12.1,13.3,15.7
Metropolitana,13,Pedro Aguirre Cerda,13121.0,107803.0,6.5,12.1,12.1,14.8,17.6,33.4,50.1,64.9,72.4,82.6,101.1
Metropolitana,13,Penaflor,13605.0,101058.0,9.9,12.9,12.9,17.8,17.8,19.8,24.7,25.7,28.7,34.6,43.5
Metropolitana,13,Penalolen,13122.0,266798.0,11.6,17.2,20.2,24.4,29.2,36.7,49.1,51.3,60.7,70.1,78.3
Metropolitana,13,Pirque,13202.0,30433.0,0.0,6.6,6.6,13.1,13.1,29.6,32.9,39.4,42.7,46.0,52.6
Metropolitana,13,Providencia,13123.0,157749.0,52.0,55.2,59.6,65.9,72.9,81.8,86.2,93.2,104.0,114.1,124.2
Metropolitana,13,Pudahuel,13124.0,253139.0,6.7,9.9,12.6,17.4,20.5,26.5,30.8,34.8,40.7,46.6,54.1
Metropolitana,13,Puente Alto,13201.0,645909.0,7.0,9.0,11.8,18.4,25.7,37.0,49.9,57.9,73.1,87.0,106.5
Metropolitana,13,Quilicura,13125.0,254694.0,6.7,11.4,13.0,20.0,22.4,31.0,36.9,39.7,44.0,50.6,64.4
Metropolitana,13,Quinta Normal,13126.0,136368.0,15.4,18.3,25.7,30.1,41.8,50.6,61.6,77.0,91.7,109.3,126.1
Metropolitana,13,Recoleta,13127.0,190075.0,8.9,12.1,16.8,23.1,27.4,32.1,38.4,42.6,56.3,66.3,91.5
Metropolitana,13,Renca,13128.0,160847.0,5.6,8.7,11.2,11.8,13.7,17.4,26.1,31.1,43.5,51.0,66.5
Metropolitana,13,San Bernardo,13401.0,334836.0,9.6,12.2,15.8,22.1,23.6,34.9,41.8,46.6,59.1,70.8,95.0
Metropolitana,13,San Joaquin,13129.0,103485.0,12.6,23.2,27.1,34.8,40.6,50.2,56.0,65.7,81.2,97.6,114.0
Metropolitana,13,San Jose de Maipo,13203.0,18644.0,10.7,10.7,10.7,16.1,16.1,21.5,21.5,21.5,21.5,21.5,37.5
Metropolitana,13,San Miguel,13130.0,133059.0,18.8,24.0,29.3,36.8,42.1,51.9,64.6,72.9,83.4,98.5,114.2
Metropolitana,13,San Pedro,13505.0,11953.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.4,16.7
Metropolitana,13,San Ramon,13131.0,86510.0,1.2,6.9,10.4,10.4,13.9,20.8,23.1,31.2,37.0,48.5,76.3
Metropolitana,13,Santiago,13101.0,503147.0,25.2,31.0,34.4,46.5,53.9,63.8,74.5,80.3,92.0,99.4,120.8
Metropolitana,13,Talagante,13601.0,81838.0,3.7,6.1,7.3,13.4,17.1,22.0,25.7,29.3,31.8,33.0,36.7
Metropolitana,13,Tiltil,13303.0,21477.0,9.3,9.3,14.0,14.0,18.6,18.6,18.6,18.6,18.6,23.3,23.3
Metropolitana,13,Vitacura,13132.0,96774.0,85.8,93.0,103.3,117.8,117.8,123.0,131.2,132.3,134.3,136.4,137.4
Metropolitana,13,Total,,8125072.0,14.7,18.7,21.4,27.6,31.4,39.3,46.8,53.3,60.5,68.9,82.5
Del Libertador General Bernardo O’Higgins,06,Chepica,6302.0,15925.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Del Libertador General Bernardo O’Higgins,06,Chimbarongo,6303.0,37696.0,0.0,5.3,5.3,5.3,5.3,5.3,5.3,10.6,10.6,5.3,5.3
Del Libertador General Bernardo O’Higgins,06,Codegua,6102.0,14096.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.1,7.1
Del Libertador General Bernardo O’Higgins,06,Coinco,6103.0,7831.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.8
Del Libertador General Bernardo O’Higgins,06,Coltauco,6104.0,21263.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Del Libertador General Bernardo O’Higgins,06,Donihue,6105.0,22700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.4
Del Libertador General Bernardo O’Higgins,06,Graneros,6106.0,36504.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5
Del Libertador General Bernardo O’Higgins,06,La Estrella,6202.0,3114.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Del Libertador General Bernardo O’Higgins,06,Las Cabras,6107.0,26749.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7,3.7,3.7,11.2
Del Libertador General Bernardo O’Higgins,06,Litueche,6203.0,6765.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.8
Del Libertador General Bernardo O’Higgins,06,Lolol,6304.0,7289.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Del Libertador General Bernardo O’Higgins,06,Machali,6108.0,59913.0,5.0,0.0,11.7,13.4,13.4,13.4,13.4,13.4,15.0,16.7,26.7
Del Libertador General Bernardo O’Higgins,06,Malloa,6109.0,14163.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Del Libertador General Bernardo O’Higgins,06,Marchihue,6204.0,7632.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Del Libertador General Bernardo O’Higgins,06,Mostazal,6110.0,27462.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Del Libertador General Bernardo O’Higgins,06,Nancagua,6305.0,19141.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Del Libertador General Bernardo O’Higgins,06,Navidad,6205.0,6904.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Del Libertador General Bernardo O’Higgins,06,Olivar,6111.0,14624.0,0.0,0.0,13.7,13.7,13.7,20.5,41.0,47.9,47.9,41.0,41.0
Del Libertador General Bernardo O’Higgins,06,Palmilla,6306.0,13299.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Del Libertador General Bernardo O’Higgins,06,Paredones,6206.0,6349.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Del Libertador General Bernardo O’Higgins,06,Peralillo,6307.0,11848.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Del Libertador General Bernardo O’Higgins,06,Peumo,6112.0,14952.0,0.0,0.0,0.0,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7
Del Libertador General Bernardo O’Higgins,06,Pichidegua,6113.0,20743.0,0.0,6.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Del Libertador General Bernardo O’Higgins,06,Pichilemu,6201.0,17882.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Del Libertador General Bernardo O’Higgins,06,Placilla,6308.0,9164.0,0.0,10.9,10.9,10.9,10.9,10.9,10.9,21.8,21.8,10.9,10.9
Del Libertador General Bernardo O’Higgins,06,Pumanque,6309.0,3531.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Del Libertador General Bernardo O’Higgins,06,Quinta de Tilcoco,6114.0,13877.0,7.2,14.4,14.4,14.4,14.4,14.4,21.6,21.6,21.6,7.2,7.2
Del Libertador General Bernardo O’Higgins,06,Rancagua,6101.0,265211.0,2.6,2.6,3.4,5.7,5.7,5.7,5.7,5.7,5.7,8.3,10.6
Del Libertador General Bernardo O’Higgins,06,Rengo,6115.0,63710.0,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,3.1,4.7
Del Libertador General Bernardo O’Higgins,06,Requinoa,6116.0,30371.0,6.6,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,6.6,9.9
Del Libertador General Bernardo O’Higgins,06,San Fernando,6301.0,78642.0,2.5,5.1,5.1,5.1,5.1,5.1,5.1,6.4,6.4,7.6,6.4
Del Libertador General Bernardo O’Higgins,06,San Vicente,6117.0,50617.0,0.0,2.0,7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.9
Del Libertador General Bernardo O’Higgins,06,Santa Cruz,6310.0,41096.0,0.0,0.0,0.0,2.4,4.9,4.9,4.9,4.9,4.9,2.4,4.9
Del Libertador General Bernardo O’Higgins,06,Total,,991063.0,1.6,2.6,3.3,4.2,4.3,4.4,4.8,5.4,5.5,6.1,8.2
Maule,07,Cauquenes,7201.0,44143.0,2.3,2.3,6.8,9.1,9.1,9.1,9.1,9.1,18.1,22.7,27.2
Maule,07,Chanco,7202.0,9331.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.4,21.4
Maule,07,Colbun,7402.0,22565.0,4.4,17.7,17.7,22.2,22.2,22.2,22.2,22.2,26.6,22.2,26.6
Maule,07,Constitucion,7102.0,50348.0,0.0,2.0,6.0,6.0,9.9,9.9,9.9,7.9,21.8,21.8,35.8
Maule,07,Curepto,7103.0,9426.0,0.0,0.0,0.0,0.0,21.2,31.8,31.8,31.8,31.8,74.3,84.9
Maule,07,Curico,7301.0,163626.0,3.7,4.9,6.7,7.9,7.9,10.4,12.2,14.1,14.7,18.9,18.9
Maule,07,Empedrado,7104.0,4206.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Maule,07,Hualane,7302.0,10222.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Maule,07,Licanten,7303.0,6989.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.3,28.6,28.6
Maule,07,Linares,7401.0,101073.0,4.0,5.9,9.9,10.9,11.9,12.9,12.9,12.9,14.8,21.8,21.8
Maule,07,Longavi,7403.0,32810.0,3.0,3.0,3.0,6.1,6.1,6.1,6.1,6.1,9.1,9.1,12.2
Maule,07,Maule,7105.0,60000.0,3.3,3.3,3.3,3.3,5.0,5.0,6.7,8.3,16.7,21.7,36.7
Maule,07,Molina,7304.0,49800.0,4.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,8.0,10.0,14.1
Maule,07,Parral,7404.0,44544.0,9.0,6.7,6.7,6.7,9.0,11.2,13.5,13.5,13.5,13.5,20.2
Maule,07,Pelarco,7106.0,9083.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,33.0,55.0,55.0,55.0
Maule,07,Pelluhue,7203.0,8092.0,12.4,12.4,12.4,12.4,12.4,12.4,12.4,12.4,12.4,12.4,24.7
Maule,07,Pencahue,7107.0,8601.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.6,23.3,34.9
Maule,07,Rauco,7305.0,11248.0,0.0,0.0,8.9,8.9,8.9,17.8,17.8,17.8,17.8,17.8,17.8
Maule,07,Retiro,7405.0,21071.0,0.0,0.0,0.0,0.0,0.0,0.0,4.7,4.7,9.5,9.5,4.7
Maule,07,Rio Claro,7108.0,14753.0,6.8,6.8,6.8,6.8,13.6,20.3,20.3,20.3,40.7,40.7,47.4
