Region,Fecha,Total
Total,2020-05-14,368
Arica y Parinacota,2020-05-15,7
Tarapacá,2020-05-15,2
Antofagasta,2020-05-15,12
Atacama,2020-05-15,0
Coquimbo,2020-05-15,1
Valparaíso,2020-05-15,27
Metropolitana,2020-05-15,221
O’Higgins,2020-05-15,5
Maule,2020-05-15,14
Ñuble,2020-05-15,20
Biobío,2020-05-15,9
Araucanía,2020-05-15,43
Los Ríos,2020-05-15,6
Los Lagos,2020-05-15,11
Aysén,2020-05-15,0
Magallanes,2020-05-15,16
Total,2020-05-15,394
Arica y Parinacota,2020-05-16,7
Tarapacá,2020-05-16,2
Antofagasta,2020-05-16,12
Atacama,2020-05-16,0
Coquimbo,2020-05-16,2
Valparaíso,2020-05-16,28
Metropolitana,2020-05-16,246
O’Higgins,2020-05-16,5
Maule,2020-05-16,14
Ñuble,2020-05-16,20
Biobío,2020-05-16,9
Araucanía,2020-05-16,43
Los Ríos,2020-05-16,6
Los Lagos,2020-05-16,11
Aysén,2020-05-16,0
Magallanes,2020-05-16,16
Total,2020-05-16,421
Arica y Parinacota,2020-05-17,7
Tarapacá,2020-05-17,4
Antofagasta,2020-05-17,13
Atacama,2020-05-17,0
Coquimbo,2020-05-17,2
Valparaíso,2020-05-17,29
Metropolitana,2020-05-17,270
O’Higgins,2020-05-17,5
Maule,2020-05-17,14
Ñuble,2020-05-17,20
Biobío,2020-05-17,9
Araucanía,2020-05-17,44
Los Ríos,2020-05-17,6
Los Lagos,2020-05-17,11
Aysén,2020-05-17,0
Magallanes,2020-05-17,16
Total,2020-05-17,450
Arica y Parinacota,2020-05-18,7
Tarapacá,2020-05-18,4
Antofagasta,2020-05-18,14
Atacama,2020-05-18,0
Coquimbo,2020-05-18,2
Valparaíso,2020-05-18,30
Metropolitana,2020-05-18,294
O’Higgins,2020-05-18,6
Maule,2020-05-18,14
Ñuble,2020-05-18,21
Biobío,2020-05-18,9
Araucanía,2020-05-18,44
Los Ríos,2020-05-18,6
Los Lagos,2020-05-18,11
Aysén,2020-05-18,0
Magallanes,2020-05-18,16
Total,2020-05-18,478
Arica y Parinacota,2020-05-19,7
Tarapacá,2020-05-19,4
Antofagasta,2020-05-19,16
Atacama,2020-05-19,0
Coquimbo,2020-05-19,2
Valparaíso,2020-05-19,32
Metropolitana,2020-05-19,318
O’Higgins,2020-05-19,7
Maule,2020-05-19,14
Ñuble,2020-05-19,21
Biobío,2020-05-19,9
Araucanía,2020-05-19,44
Los Ríos,2020-05-19,6
Los Lagos,2020-05-19,12
Aysén,2020-05-19,0
Magallanes,2020-05-19,17
Total,2020-05-19,509
Arica y Parinacota,2020-05-20,7
Tarapacá,2020-05-20,4
Antofagasta,2020-05-20,17
Atacama,2020-05-20,0
Coquimbo,2020-05-20,2
Valparaíso,2020-05-20,35
Metropolitana,2020-05-20,348
O’Higgins,2020-05-20,7
Maule,2020-05-20,14
Ñuble,2020-05-20,21
Biobío,2020-05-20,9
Araucanía,2020-05-20,44
Los Ríos,2020-05-20,6
Los Lagos,2020-05-20,12
Aysén,2020-05-20,0
Magallanes,2020-05-20,18
Total,2020-05-20,544
Arica y Parinacota,2020-05-21,7
Tarapacá,2020-05-21,4
Antofagasta,2020-05-21,17
Atacama,2020-05-21,0
Coquimbo,2020-05-21,2
Valparaíso,2020-05-21,38
Metropolitana,2020-05-21,388
O’Higgins,2020-05-21,7
Maule,2020-05-21,15
Ñuble,2020-05-21,21
Biobío,2020-05-21,9
Araucanía,2020-05-21,44
Los Ríos,2020-05-21,6
Los Lagos,2020-05-21,13
Aysén,2020-05-21,0
Magallanes,2020-05-21,18
Total,2020-05-21,589
Arica y Parinacota,2020-05-22,7
Tarapacá,2020-05-22,5
Antofagasta,2020-05-22,17
Atacama,2020-05-22,0
Coquimbo,2020-05-22,2
Valparaíso,2020-05-22,40
Metropolitana,2020-05-22,423
O’Higgins,2020-05-22,8
Maule,2020-05-22,15
Ñuble,2020-05-22,21
Biobío,2020-05-22,10
Araucanía,2020-05-22,45
Los Ríos,2020-05-22,6
Los Lagos,2020-05-22,13
Aysén,2020-05-22,0
Magallanes,2020-05-22,18
Total,2020-05-22,630
Arica y Parinacota,2020-05-23,7
Tarapacá,2020-05-23,5
Antofagasta,2020-05-23,21
Atacama,2020-05-23,0
Coquimbo,2020-05-23,2
Valparaíso,2020-05-23,44
Metropolitana,2020-05-23,455
O’Higgins,2020-05-23,11
Maule,2020-05-23,15
Ñuble,2020-05-23,21
Biobío,2020-05-23,10
Araucanía,2020-05-23,45
Los Ríos,2020-05-23,6
Los Lagos,2020-05-23,13
Aysén,2020-05-23,0
Magallanes,2020-05-23,18
Total,2020-05-23,673
Arica y Parinacota,2020-05-24,7
Tarapacá,2020-05-24,7
Antofagasta,2020-05-24,21
Atacama,2020-05-24,0
Coquimbo,2020-05-24,2
Valparaíso,2020-05-24,48
Metropolitana,2020-05-24,494
O’Higgins,2020-05-24,11
Maule,2020-05-24,15
Ñuble,2020-05-24,21
Biobío,2020-05-24,10
Araucanía,2020-05-24,45
Los Ríos,2020-05-24,6
Los Lagos,2020-05-24,13
Aysén,2020-05-24,0
Magallanes,2020-05-24,18
Total,2020-05-24,718
Arica y Parinacota,2020-05-25,7
Tarapacá,2020-05-25,7
Antofagasta,2020-05-25,21
Atacama,2020-05-25,0
Coquimbo,2020-05-25,2
Valparaíso,2020-05-25,53
Metropolitana,2020-05-25,529
O’Higgins,2020-05-25,13
Maule,2020-05-25,15
Ñuble,2020-05-25,22
Biobío,2020-05-25,10
Araucanía,2020-05-25,45
Los Ríos,2020-05-25,6
Los Lagos,2020-05-25,13
Aysén,2020-05-25,0
Magallanes,2020-05-25,18
Total,2020-05-25,761
Arica y Parinacota,2020-05-26,7
Tarapacá,2020-05-26,8
Antofagasta,2020-05-26,23
Atacama,2020-05-26,0
Coquimbo,2020-05-26,2
Valparaíso,2020-05-26,57
Metropolitana,2020-05-26,567
O’Higgins,2020-05-26,13
Maule,2020-05-26,15
Ñuble,2020-05-26,22
Biobío,2020-05-26,10
Araucanía,2020-05-26,45
Los Ríos,2020-05-26,6
Los Lagos,2020-05-26,13
Aysén,2020-05-26,0
Magallanes,2020-05-26,18
Total,2020-05-26,806
Arica y Parinacota,2020-05-27,7
Tarapacá,2020-05-27,11
Antofagasta,2020-05-27,25
Atacama,2020-05-27,0
Coquimbo,2020-05-27,2
Valparaíso,2020-05-27,58
Metropolitana,2020-05-27,595
O’Higgins,2020-05-27,14
Maule,2020-05-27,15
Ñuble,2020-05-27,22
Biobío,2020-05-27,10
Araucanía,2020-05-27,45
Los Ríos,2020-05-27,6
Los Lagos,2020-05-27,13
Aysén,2020-05-27,0
Magallanes,2020-05-27,18
Total,2020-05-27,841
