Sintomas,fecha,numero
Dolor abdominal,2020-03-27,33
Cianosis,2020-03-27,4
Postración,2020-03-27,5
Congestión nasal,2020-03-27,
Tos,2020-03-28,1231
Fiebre,2020-03-28,1053
Mialgia,2020-03-28,966
Cefalea,2020-03-28,836
Odinofagia,2020-03-28,768
Disnea,2020-03-28,217
Diarrea,2020-03-28,105
Dolor torácico,2020-03-28,93
Taquipnea,2020-03-28,42
Dolor abdominal,2020-03-28,47
Cianosis,2020-03-28,4
Postración,2020-03-28,6
Congestión nasal,2020-03-28,
Tos,2020-03-29,1359
Fiebre,2020-03-29,1148
Mialgia,2020-03-29,1064
Cefalea,2020-03-29,945
Odinofagia,2020-03-29,843
Disnea,2020-03-29,247
Diarrea,2020-03-29,121
Dolor torácico,2020-03-29,109
Taquipnea,2020-03-29,51
Dolor abdominal,2020-03-29,50
Cianosis,2020-03-29,6
Postración,2020-03-29,9
Congestión nasal,2020-03-29,
Tos,2020-03-30,1495
Fiebre,2020-03-30,1257
Mialgia,2020-03-30,1184
Cefalea,2020-03-30,1057
Odinofagia,2020-03-30,927
Disnea,2020-03-30,297
Diarrea,2020-03-30,142
Dolor torácico,2020-03-30,123
Taquipnea,2020-03-30,62
Dolor abdominal,2020-03-30,60
Cianosis,2020-03-30,9
Postración,2020-03-30,
Congestión nasal,2020-03-30,
Tos,2020-03-31,1714
Fiebre,2020-03-31,1440
Mialgia,2020-03-31,1349
Cefalea,2020-03-31,1232
Odinofagia,2020-03-31,1047
Disnea,2020-03-31,353
Diarrea,2020-03-31,172
Dolor torácico,2020-03-31,140
Taquipnea,2020-03-31,80
Dolor abdominal,2020-03-31,73
Cianosis,2020-03-31,9
Postración,2020-03-31,
Congestión nasal,2020-03-31,
Tos,2020-04-01,1992
Fiebre,2020-04-01,1657
Mialgia,2020-04-01,1553
Cefalea,2020-04-01,1448
Odinofagia,2020-04-01,1191
Disnea,2020-04-01,426
Diarrea,2020-04-01,207
Dolor torácico,2020-04-01,172
Taquipnea,2020-04-01,99
Dolor abdominal,2020-04-01,92
Cianosis,2020-04-01,10
Postración,2020-04-01,
Congestión nasal,2020-04-01,
Tos,2020-04-02,2136
Fiebre,2020-04-02,1757
Mialgia,2020-04-02,1656
Cefalea,2020-04-02,1557
Odinofagia,2020-04-02,1275
Disnea,2020-04-02,465
Diarrea,2020-04-02,237
Dolor torácico,2020-04-02,189
Taquipnea,2020-04-02,107
Dolor abdominal,2020-04-02,102
Cianosis,2020-04-02,10
Postración,2020-04-02,
Congestión nasal,2020-04-02,
Tos,2020-04-03,2359
Fiebre,2020-04-03,2007
Mialgia,2020-04-03,1923
Cefalea,2020-04-03,1813
Odinofagia,2020-04-03,1476
Disnea,2020-04-03,559
Diarrea,2020-04-03,281
Dolor torácico,2020-04-03,231
Taquipnea,2020-04-03,128
Dolor abdominal,2020-04-03,131
Cianosis,2020-04-03,15
Postración,2020-04-03,
Congestión nasal,2020-04-03,
Tos,2020-04-04,2621
Fiebre,2020-04-04,2199
Mialgia,2020-04-04,2143
Cefalea,2020-04-04,2031
Odinofagia,2020-04-04,1623
Disnea,2020-04-04,639
Diarrea,2020-04-04,322
Dolor torácico,2020-04-04,264
Taquipnea,2020-04-04,142
Dolor abdominal,2020-04-04,154
Cianosis,2020-04-04,16
Postración,2020-04-04,
Congestión nasal,2020-04-04,
Tos,2020-04-05,2810
Fiebre,2020-04-05,2347
Mialgia,2020-04-05,2303
Cefalea,2020-04-05,2194
Odinofagia,2020-04-05,1733
Disnea,2020-04-05,704
Diarrea,2020-04-05,356
Dolor torácico,2020-04-05,302
Taquipnea,2020-04-05,161
Dolor abdominal,2020-04-05,179
Cianosis,2020-04-05,17
Postración,2020-04-05,
Congestión nasal,2020-04-05,
Tos,2020-04-06,2976
Fiebre,2020-04-06,2478
Mialgia,2020-04-06,2438
Cefalea,2020-04-06,2310
Odinofagia,2020-04-06,1823
Disnea,2020-04-06,753
Diarrea,2020-04-06,368
Dolor torácico,2020-04-06,333
Taquipnea,2020-04-06,178
Dolor abdominal,2020-04-06,190
Cianosis,2020-04-06,18
Postración,2020-04-06,
Congestión nasal,2020-04-06,
Tos,2020-04-07,3115
Fiebre,2020-04-07,2603
Mialgia,2020-04-07,2565
Cefalea,2020-04-07,2441
Odinofagia,2020-04-07,1903
Disnea,2020-04-07,794
Diarrea,2020-04-07,397
Dolor torácico,2020-04-07,353
Taquipnea,2020-04-07,187
Dolor abdominal,2020-04-07,198
Cianosis,2020-04-07,22
Postración,2020-04-07,
Congestión nasal,2020-04-07,
Tos,2020-04-08,3274
Fiebre,2020-04-08,2728
Mialgia,2020-04-08,2706
Cefalea,2020-04-08,2603
Odinofagia,2020-04-08,1999
Disnea,2020-04-08,839
Diarrea,2020-04-08,428
Dolor torácico,2020-04-08,377
Taquipnea,2020-04-08,190
Dolor abdominal,2020-04-08,220
Cianosis,2020-04-08,23
Postración,2020-04-08,
Congestión nasal,2020-04-08,
Tos,2020-04-09,3420
Fiebre,2020-04-09,2818
Mialgia,2020-04-09,2810
Cefalea,2020-04-09,2739
Odinofagia,2020-04-09,2090
Disnea,2020-04-09,861
Diarrea,2020-04-09,450
Dolor torácico,2020-04-09,392
Taquipnea,2020-04-09,194
Dolor abdominal,2020-04-09,227
Cianosis,2020-04-09,23
Postración,2020-04-09,
Congestión nasal,2020-04-09,
Tos,2020-04-10,3548
Fiebre,2020-04-10,2925
Mialgia,2020-04-10,2934
Cefalea,2020-04-10,2876
Odinofagia,2020-04-10,2170
Disnea,2020-04-10,911
Diarrea,2020-04-10,482
Dolor torácico,2020-04-10,405
Taquipnea,2020-04-10,205
Dolor abdominal,2020-04-10,248
Cianosis,2020-04-10,23
Postración,2020-04-10,
Congestión nasal,2020-04-10,
Tos,2020-04-11,3667
Fiebre,2020-04-11,2990
Mialgia,2020-04-11,3025
Cefalea,2020-04-11,2977
Odinofagia,2020-04-11,2241
Disnea,2020-04-11,935
Diarrea,2020-04-11,502
Dolor torácico,2020-04-11,424
Taquipnea,2020-04-11,209
Dolor abdominal,2020-04-11,257
Cianosis,2020-04-11,23
Postración,2020-04-11,
Congestión nasal,2020-04-11,
Tos,2020-04-12,3750
Fiebre,2020-04-12,3041
Mialgia,2020-04-12,3082
Cefalea,2020-04-12,3040
Odinofagia,2020-04-12,2287
Disnea,2020-04-12,953
Diarrea,2020-04-12,511
Dolor torácico,2020-04-12,432
Taquipnea,2020-04-12,211
Dolor abdominal,2020-04-12,260
Cianosis,2020-04-12,24
Postración,2020-04-12,
Congestión nasal,2020-04-12,
